"Name","Rank","Number of Births"
"Sean","1","872"
"Conor","2","867"
"James","3","757"
"Michael","4","676"
"John","5","636"
"Shane","6","633"
"David","7","617"
"Daniel","8","607"
"Aaron","9","594"
"Jack","10","568"
"Patrick","11","553"
"Adam","12","532"
"Dylan","13","531"
"Stephen","14","524"
"Mark","15","469"
"Thomas","16","449"
"Ryan","17","437"
"Cian","18","402"
"Luke","19","400"
"Eoin","20","381"
"Kevin","21","357"
"Robert","22","336"
"Andrew","23","316"
"Brian","24","315"
"Ciaran","25","306"
"Paul","26","303"
"Jordan","27","302"
"Liam","28","297"
"Darragh","29","295"
"Christopher","30","293"
"Dean","31","290"
"Jamie","32","281"
"Joseph","33","268"
"Jason","34","261"
"Niall","35","254"
"Darren","35","254"
"Cathal","37","243"
"Matthew","38","234"
"William","39","217"
"Ross","40","211"
"Peter","41","206"
"Alan","42","205"
"Gavin","43","201"
"Evan","44","197"
"Lee","45","186"
"Craig","46","178"
"Nathan","47","174"
"Martin","47","174"
"Oisin","49","171"
"Anthony","50","169"
"Ronan","51","167"
"Eoghan","52","164"
"Gary","53","155"
"Colm","54","151"
"Keith","55","145"
"Ian","55","145"
"Joshua","57","139"
"Kyle","58","134"
"Ben","59","130"
"Kieran","60","127"
"Killian","61","123"
"Aidan","62","121"
"Jonathan","63","118"
"Jake","64","116"
"Cormac","65","114"
"Colin","65","114"
"Richard","67","112"
"Philip","68","110"
"Karl","69","109"
"Brandon","70","106"
"Samuel","71","103"
"Cillian","72","101"
"Brendan","73","100"
"Rory","74","99"
"Padraig","74","99"
"Barry","76","98"
"Edward","77","95"
"Eric","77","95"
"Gerard","79","94"
"Steven","80","87"
"Declan","81","82"
"Alexander","82","81"
"Donal","83","73"
"Alex","84","70"
"Benjamin","84","70"
"Dillon","86","69"
"Graham","86","69"
"Daire","88","67"
"Simon","88","67"
"Timothy","88","67"
"Micheal","91","64"
"Leon","92","60"
"Denis","93","57"
"Glenn","94","55"
"Daragh","95","54"
"Emmet","96","53"
"Hugh","97","51"
"Owen","97","51"
"Fionn","99","50"
"Shaun","99","50"
"Francis","99","50"
"Gareth","99","50"
"Scott","103","49"
"Diarmuid","103","49"
"Harry","105","48"
"Seamus","106","47"
"Adrian","106","47"
"Bryan","106","47"
"Connor","109","46"
"Nicholas","109","46"
"Damien","109","46"
"Glen","109","46"
"Noel","113","45"
"Carl","114","44"
"Neil","115","43"
"Calvin","116","40"
"Ethan","117","39"
"Tadhg","117","39"
"Lorcan","117","39"
"Gearoid","117","39"
"Dara","121","38"
"Corey","121","38"
"Tomas","123","37"
"Eamonn","123","37"
"Raymond","123","37"
"Dale","123","37"
"Caolan","127","36"
"George","128","35"
"Sam","129","34"
"Marc","130","33"
"Bernard","130","33"
"Derek","130","33"
"Ruairi","133","32"
"Dermot","133","32"
"Kenneth","133","32"
"Daryl","133","32"
"Callum","137","31"
"Keelan","138","30"
"Josh","139","29"
"Tom","139","29"
"Eamon","141","28"
"Enda","141","28"
"Christian","143","27"
"Fiachra","143","27"
"Eanna","145","26"
"Padraic","145","26"
"Louis","147","25"
"Henry","147","25"
"Reece","149","24"
"Vincent","149","24"
"Wayne","149","24"
"Laurence","149","24"
"Fergal","149","24"
"Charles","154","23"
"Oliver","155","22"
"Pierce","155","22"
"Cameron","157","21"
"Marcus","158","20"
"Desmond","158","20"
"Maurice","158","20"
"Stuart","158","20"
"Tiernan","162","19"
"Dominic","162","19"
"Fintan","162","19"
"Frank","162","19"
"Jeremiah","162","19"
"Curtis","162","19"
"Tristan","168","18"
"Justin","168","18"
"Kealan","168","18"
"Trevor","168","18"
"Terence","168","18"
"Arron","168","18"
"Charlie","174","17"
"Rian","174","17"
"Senan","174","17"
"Odhran","174","17"
"Billy","174","17"
"Conall","174","17"
"Mathew","174","17"
"Tony","174","17"
"Warren","174","17"
"Wesley","174","17"
"Jacob","184","16"
"Caleb","184","16"
"Morgan","184","16"
"Roy","184","16"
"Finbarr","184","16"
"Rhys","189","15"
"Oran","189","15"
"Lewis","189","15"
"Bradley","189","15"
"Kelvin","189","15"
