"Name","Rank","Number of Births"
"Conan","292","4"
"Rossa","292","4"
"Gerry","292","4"
"Arran","292","4"
"Dane","292","4"
"Jody","292","4"
"Arron","292","4"
"Felim","292","4"
"Alfred","292","4"
"Alec","292","4"
"Alphonsus","292","4"
"Ambrose","292","4"
"Aubrey","292","4"
"Cecil","292","4"
"Clement","292","4"
"Elton","292","4"
"Feargal","292","4"
"Gene","292","4"
"Howard","292","4"
"Piaras","292","4"
"Pio","292","4"
"Roderick","292","4"
"Stephan","292","4"
"Cronan","292","4"
"Daren","292","4"
"Lester","292","4"
"Padhraig","292","4"
"Lucas","324","3"
"Sebastian","324","3"
"Eanna","324","3"
"Jordan","324","3"
"Troy","324","3"
"Zachary","324","3"
"Aran","324","3"
"Erik","324","3"
"Jim","324","3"
"Kelvin","324","3"
"Cristian","324","3"
"Jimmy","324","3"
"Leighton","324","3"
"Raphael","324","3"
"Alvin","324","3"
"Norbert","324","3"
"Pearce","324","3"
"Angus","324","3"
"Dale","324","3"
"Eoghain","324","3"
"Evin","324","3"
"Muiris","324","3"
"Alastair","324","3"
"Benedict","324","3"
"Jean","324","3"
"Ashley","324","3"
"Harold","324","3"
"Macdara","324","3"
"Brien","324","3"
"Camillus","324","3"
"Cieran","324","3"
"Colmcille","324","3"
"Darrell","324","3"
"Dereck","324","3"
"Duncan","324","3"
"Errol","324","3"
"Flannan","324","3"
"Melvin","324","3"
"Mortimer","324","3"
"Ros","324","3"
"Stan","324","3"
"Vernon","324","3"
"Alasdair","324","3"
"Aongus","324","3"
"Carroll","324","3"
"Darin","324","3"
"Darron","324","3"
"Dawn","324","3"
"Donall","324","3"
"Dwain","324","3"
"Dwane","324","3"
"Earl","324","3"
"Lyndon","324","3"
"Mac","324","3"
"Martyn","324","3"
"Nessan","324","3"
"Niel","324","3"
"Pauraic","324","3"
"Ricahrd","324","3"
"Seoirse","324","3"
"Valentine","324","3"
