"Name","Rank","Number of Births"
"Sean","1","994"
"Jack","2","987"
"Conor","3","731"
"Adam","4","693"
"James","5","678"
"Daniel","6","636"
"Luke","7","536"
"Cian","8","520"
"Michael","9","509"
"Jamie","10","494"
"Aaron","11","488"
"Dylan","12","456"
"Thomas","13","432"
"Ryan","14","431"
"Darragh","15","429"
"Oisin","16","413"
"Matthew","17","395"
"John","18","394"
"Patrick","19","392"
"Ben","20","385"
"David","21","383"
"Callum","22","368"
"Alex","23","367"
"Shane","24","366"
"Evan","25","364"
"Eoin","26","356"
"Joshua","27","341"
"Cillian","28","300"
"Jake","29","297"
"Liam","30","295"
"Mark","31","265"
"Nathan","32","255"
"Ciaran","33","227"
"Samuel","34","224"
"Cathal","35","219"
"Charlie","36","218"
"Robert","37","206"
"Kyle","38","202"
"Fionn","39","195"
"Joseph","39","195"
"Harry","41","193"
"Cormac","42","185"
"Andrew","43","182"
"Calum","44","179"
"Rory","45","170"
"Stephen","46","165"
"Ronan","47","164"
"Kevin","48","159"
"Noah","49","158"
"William","50","149"
"Eoghan","50","149"
"Brian","52","145"
"Christopher","53","144"
"Ethan","54","139"
"Lee","55","138"
"Alexander","56","134"
"Scott","56","134"
"Sam","58","128"
"Killian","59","127"
"Jason","60","126"
"Niall","60","126"
"Peter","62","125"
"Paul","62","125"
"Tadhg","64","122"
"Aidan","65","120"
"Finn","66","116"
"Josh","67","114"
"Benjamin","68","109"
"Dean","69","106"
"Anthony","70","104"
"Tom","71","100"
"Max","72","98"
"Leon","73","97"
"Colm","73","97"
"Gavin","75","95"
"Martin","76","91"
"Rian","77","86"
"Dara","77","86"
"Brandon","79","84"
"Alan","80","83"
"Padraig","80","83"
"Ross","80","83"
"Charles","83","79"
"Ruairi","84","78"
"Kian","85","77"
"Craig","85","77"
"Leo","87","73"
"Colin","88","71"
"Darren","88","71"
"Cameron","90","70"
"Diarmuid","91","69"
"Oscar","92","68"
"Tomas","92","68"
"Owen","92","68"
"Senan","95","65"
"Connor","95","65"
"Oran","97","64"
"Daire","98","63"
"Christian","99","62"
"Tristan","99","62"
"Oliver","101","61"
"Reece","101","61"
"Philip","101","61"
"Rhys","104","60"
"Kieran","104","60"
"Hugh","104","60"
"Lorcan","107","59"
"Billy","107","59"
"Odhran","109","58"
"Jonathan","109","58"
"Edward","111","57"
"Brendan","112","55"
"Jacob","113","54"
"Louis","114","53"
"Lucas","114","53"
"Corey","116","52"
"Luca","116","52"
"Simon","118","51"
"Micheal","119","50"
"Denis","119","50"
"George","121","49"
"Bobby","122","48"
"Daragh","123","47"
"Joe","123","47"
"Richard","125","46"
"Donnacha","126","45"
"Tiernan","126","45"
"Keelan","126","45"
"Karl","129","44"
"Zach","130","43"
"Keith","130","43"
"Shay","132","42"
"Gearoid","132","42"
"Jakub","134","41"
"Steven","135","40"
"Conall","135","40"
"Danny","137","39"
"Seamus","137","39"
"Tadgh","137","39"
"Barry","137","39"
"Eric","141","38"
"Cody","141","38"
"Ian","141","38"
"Gerard","144","37"
"Marcus","144","37"
"Donal","144","37"
"Nicholas","147","36"
"Timothy","147","36"
"Calvin","149","35"
"Declan","149","35"
"Gary","149","35"
"Shayne","149","35"
"Isaac","153","34"
"Paddy","153","34"
"Adrian","153","34"
"Euan","153","34"
"Tommy","157","33"
"Jordan","158","31"
"Logan","158","31"
"Padraic","160","30"
"Eanna","161","29"
"Henry","161","29"
"Morgan","161","29"
"Emmanuel","161","29"
"Warren","161","29"
"Tyler","166","28"
"Daithi","166","28"
"Shaun","166","28"
"Ewan","166","28"
"Caolan","166","28"
"Bradley","166","28"
"Justin","166","28"
"Jay","173","27"
"Taylor","173","27"
"Reuben","173","27"
"Emmet","173","27"
"Francis","173","27"
"Dillon","178","26"
"Rowan","178","26"
"Marc","180","25"
"Zack","180","25"
"Jude","180","25"
"Victor","180","25"
"Gabriel","180","25"
"Enda","180","25"
"Vincent","180","25"
"Noel","180","25"
"Dominic","180","25"
"Roan","180","25"
"Sebastian","190","24"
"Lewis","190","24"
"Eamon","190","24"
"Fiachra","190","24"
"Hugo","190","24"
"Eamonn","190","24"
"Muhammad","196","23"
"Tiarnan","197","22"
"Alfie","197","22"
"Neil","197","22"
"Oskar","200","21"
"Bryan","200","21"
"Bernard","200","21"
"Filip","203","20"
"Lennon","203","20"
"Hayden","203","20"
"Kai","203","20"
"Lukas","203","20"
"Troy","203","20"
"Zachary","203","20"
"Robbie","203","20"
"Patryk","211","19"
"Caleb","211","19"
"Damien","211","19"
"Glen","211","19"
"Joey","211","19"
"Fionnan","211","19"
"Mohamed","211","19"
"Elliot","218","18"
"Pierce","218","18"
"Fintan","218","18"
"Aron","218","18"
"Kacper","222","17"
"Szymon","222","17"
"Arthur","222","17"
"Shea","222","17"
"Toby","222","17"
"Joel","222","17"
"Conal","222","17"
"Clayton","222","17"
"Conan","222","17"
"Devin","222","17"
"Mateusz","232","16"
"Riain","232","16"
"Donncha","232","16"
"Donagh","232","16"
"Raymond","232","16"
"Bailey","232","16"
"Nikita","232","16"
"Ivan","239","15"
"Aodhan","239","15"
"Mathew","239","15"
"Wayne","239","15"
"Carl","239","15"
"Ahmed","239","15"
"Milo","239","15"
"Ultan","239","15"
"Jayden","247","14"
"Dawid","247","14"
"Jan","247","14"
"Luka","247","14"
"Will","247","14"
"Preston","247","14"
"Ashton","247","14"
"Davin","247","14"
"Kealan","247","14"
"Bill","247","14"
"Dominik","257","13"
"Jesse","257","13"
"Jonah","257","13"
"Naoise","257","13"
"Frank","257","13"
"Johnny","257","13"
"Harrison","257","13"
"Roy","257","13"
"Stefan","257","13"
"Maximilian","257","13"
"Eli","257","13"
"Fergal","257","13"
"Anton","257","13"
"Kristian","257","13"
"Theo","271","12"
"Matas","271","12"
"Ruadhan","271","12"
"Desmond","271","12"
"Olan","271","12"
"Gregory","271","12"
"Gareth","271","12"
"Jimmy","271","12"
"Keane","271","12"
"Arron","271","12"
"Finbarr","271","12"
"Blake","282","11"
"Bartosz","282","11"
"Michal","282","11"
"Zak","282","11"
"Derek","282","11"
"Elijah","282","11"
"Elliott","282","11"
"Ferdia","282","11"
"Dermot","282","11"
"Fionan","282","11"
"Nathaniel","282","11"
"Stuart","282","11"
"Flynn","282","11"
"Brooklyn","295","10"
"Mikey","295","10"
"Prince","295","10"
"Donnchadh","295","10"
"Jerry","295","10"
"Ruben","295","10"
"Cuan","295","10"
"Dan","295","10"
"Caelan","295","10"
"Hubert","295","10"
"Karol","295","10"
"Kelvin","295","10"
"Daryl","295","10"
"Eddie","295","10"
"Maurice","295","10"
"Damian","295","10"
"Peadar","295","10"
"Dane","295","10"
"Keelin","295","10"
"Mohammad","314","9"
"Tony","314","9"
"Ali","314","9"
"Kane","314","9"
"Aran","314","9"
"Lochlann","314","9"
"Mohammed","314","9"
"Kenneth","314","9"
"Graham","314","9"
"Abdullah","314","9"
"Cole","314","9"
"Feidhlim","314","9"
"Malachy","314","9"
"Aiden","314","9"
"Devon","314","9"
"Trevor","314","9"
"Artur","314","9"
"Jeffrey","314","9"
"Divine","314","9"
"Benedict","314","9"
"Mikolaj","334","8"
"Kamil","334","8"
"Felix","334","8"
"Maksymilian","334","8"
"Alexandru","334","8"
"Jeremiah","334","8"
"Maxim","334","8"
"Caoimhin","334","8"
"Jim","334","8"
"Saul","334","8"
"Albert","334","8"
"Dennis","334","8"
"Archie","334","8"
"Terence","334","8"
"Fred","334","8"
"Kallum","334","8"
"Emmett","334","8"
"Paraic","334","8"
"Rohan","334","8"
"Finley","334","8"
"Olivier","354","7"
"Pearse","354","7"
"Travis","354","7"
"Harvey","354","7"
