"Name","Rank","Number of Births"
"Sarah","1","698"
"Emma","2","593"
"Katie","3","571"
"Aoife","4","546"
"Sophie","5","497"
"Ava","6","463"
"Grace","7","450"
"Ella","8","447"
"Leah","9","444"
"Ciara","10","408"
"Emily","11","396"
"Amy","11","396"
"Lucy","13","390"
"Chloe","14","375"
"Caoimhe","15","363"
"Hannah","16","357"
"Rachel","17","355"
"Niamh","18","350"
"Rebecca","19","324"
"Jessica","20","322"
"Anna","21","320"
"Lauren","21","320"
"Kate","23","307"
"Laura","24","248"
"Molly","25","235"
"Mia","25","235"
"Roisin","27","233"
"Aisling","28","224"
"Saoirse","29","217"
"Ellie","30","215"
"Abbie","31","211"
"Megan","32","210"
"Holly","33","203"
"Ellen","34","196"
"Erin","34","196"
"Nicole","36","191"
"Aine","37","175"
"Tara","38","173"
"Shauna","39","162"
"Clodagh","40","161"
"Ruby","41","158"
"Lily","42","153"
"Katelyn","43","152"
"Eva","44","146"
"Abigail","44","146"
"Caitlin","46","143"
"Zoe","47","141"
"Eimear","48","138"
"Shannon","49","137"
"Isabelle","50","129"
"Aimee","51","128"
"Mary","52","124"
"Orla","52","124"
"Alannah","54","121"
"Olivia","55","120"
"Aoibhe","55","120"
"Eve","57","117"
"Kayleigh","58","115"
"Kayla","59","112"
"Eabha","60","111"
"Sinead","61","110"
"Robyn","62","108"
"Elizabeth","63","106"
"Isabella","64","99"
"Amber","65","95"
"Maria","66","92"
"Cara","67","91"
"Isabel","68","88"
"Sophia","69","87"
"Charlotte","70","86"
"Julia","71","85"
"Jennifer","72","84"
"Orlaith","73","83"
"Amelia","74","80"
"Faye","74","80"
"Sadhbh","76","78"
"Aoibheann","76","78"
"Jade","78","76"
"Alexandra","79","75"
"Alice","80","74"
"Clara","80","74"
"Alisha","82","73"
"Alex","82","73"
"Aoibhinn","84","71"
"Alanna","84","71"
"Grainne","86","70"
"Jasmine","87","68"
"Maeve","88","67"
"Hazel","88","67"
"Zara","90","65"
"Heather","91","63"
"Louise","92","62"
"Abby","93","61"
"Jane","94","60"
"Ruth","94","60"
"Alana","94","60"
"Lisa","97","58"
"Claire","97","58"
"Catherine","99","57"
"Victoria","100","55"
"Alicia","100","55"
"Alison","100","55"
"Kelly","100","55"
"Isobel","104","54"
"Sorcha","104","54"
"Abi","104","54"
"Sara","107","53"
"Millie","107","53"
"Michelle","107","53"
"Lara","110","52"
"Ailbhe","110","52"
"Laoise","112","51"
"Fiona","113","50"
"Meabh","113","50"
"Georgia","113","50"
"Mya","113","50"
"Keira","117","49"
"Taylor","118","48"
"Hayley","118","48"
"Danielle","120","47"
"Andrea","121","46"
"Ali","122","45"
"Naoise","122","45"
"Sofia","122","45"
"Jodie","125","43"
"Siobhan","125","43"
"Hollie","125","43"
"Brooke","128","42"
"Emer","128","42"
"Annie","130","41"
"Chelsea","130","41"
"Casey","130","41"
"Melissa","130","41"
"Natasha","130","41"
"Muireann","135","40"
"Freya","135","40"
"Maya","135","40"
"Lilly","135","40"
"Margaret","135","40"
"Naomi","140","39"
"Aoibhin","141","37"
"Leanne","142","36"
"Sienna","142","36"
"Stephanie","142","36"
"Meadhbh","142","36"
"Gemma","146","35"
"Rhianna","146","35"
"Michaela","148","34"
"Nicola","148","34"
"Rose","148","34"
"Faith","148","34"
"Tori","152","33"
"Abbey","152","33"
"Carla","152","33"
"Kelsey","152","33"
"Erica","152","33"
"Rachael","152","33"
"Evelyn","152","33"
"Siofra","159","32"
"Beth","159","32"
"Layla","161","31"
"Evie","161","31"
"Keelin","161","31"
"Martha","161","31"
"Madison","165","30"
"Daisy","165","30"
"Kaitlyn","165","30"
"Bridget","165","30"
"Doireann","169","29"
"Kathleen","169","29"
"Jenna","169","29"
"Riona","169","29"
"Courtney","169","29"
"Julie","174","28"
"Cliodhna","174","28"
"Nadine","174","28"
"Lorna","177","27"
"Eleanor","178","26"
"Cora","178","26"
"Emilia","178","26"
"Amanda","178","26"
"Kacey","178","26"
"Chantelle","178","26"
"Helen","178","26"
"Erika","178","26"
"Aishling","186","25"
"Kirsten","186","25"
"Caragh","186","25"
"Blathnaid","186","25"
"Mairead","186","25"
"Moya","191","24"
"Elena","191","24"
"Yasmin","191","24"
"Lydia","191","24"
"Nora","191","24"
"Charlie","191","24"
"Keeva","197","23"
"Bronagh","197","23"
"Kellie","197","23"
"Aideen","197","23"
"Katherine","197","23"
"Demi","197","23"
"Lucia","203","22"
"Christina","203","22"
"Libby","203","22"
"Eadaoin","203","22"
"Patricia","203","22"
"Lola","203","22"
"Lana","203","22"
"Wiktoria","210","21"
"Natalia","210","21"
"Nina","210","21"
"Cliona","210","21"
"Paige","210","21"
"Mollie","210","21"
"Marie","210","21"
"Tia","210","21"
"Kerry","210","21"
"Lauryn","210","21"
"Maja","220","20"
"Vanessa","220","20"
"Gabrielle","220","20"
"Juliet","220","20"
"Samantha","220","20"
"Allie","220","20"
"Claudia","226","19"
"Dearbhla","226","19"
"Sasha","226","19"
"Tegan","226","19"
"Heidi","226","19"
"Elisha","226","19"
"Lea","226","19"
"Caroline","226","19"
"Ailish","226","19"
"Maia","226","19"
"Rebekah","226","19"
"Rosa","226","19"
"Oliwia","238","18"
"Brianna","238","18"
"Juliette","238","18"
"Edel","238","18"
"Sally","238","18"
"Una","238","18"
"Aislinn","238","18"
"Blaithin","238","18"
"Elsa","238","18"
"Siun","247","17"
"Gabriela","247","17"
"Diana","247","17"
"Joanna","247","17"
"Rosie","247","17"
"Ally","247","17"
"Elle","247","17"
"Kiera","247","17"
"Caitlyn","247","17"
"Deirdre","247","17"
"Nessa","247","17"
"Jamie","247","17"
"Kyla","247","17"
"Leona","260","16"
"Shona","260","16"
"Aaliyah","260","16"
"Matilda","260","16"
"Natalie","260","16"
"Lia","260","16"
"Sandra","260","16"
"Jemma","260","16"
"Kasey","260","16"
"Tess","260","16"
"Aleesha","260","16"
"Gabriella","260","16"
"Aleksandra","272","15"
"Amelie","272","15"
"Alyssa","272","15"
"Keeley","272","15"
"Ashling","272","15"
"Summer","272","15"
"Poppy","272","15"
"Rihanna","272","15"
"Joy","272","15"
"April","272","15"
"Beatrice","272","15"
"Aisha","272","15"
"Deborah","272","15"
"Shakira","272","15"
"Angel","286","14"
"Ashley","286","14"
"Carly","286","14"
"Maggie","286","14"
"Kerri","286","14"
"Lucie","286","14"
"Esther","286","14"
"Meghan","286","14"
"Mischa","286","14"
"Ashleigh","286","14"
"Emilija","286","14"
"Kathryn","286","14"
"Makayla","286","14"
"Orna","286","14"
"Princess","286","14"
"Elaine","286","14"
"Eilis","286","14"
"Martyna","303","13"
"Nadia","303","13"
"Teagan","303","13"
"Lena","303","13"
"Helena","303","13"
"Maebh","303","13"
"Beibhinn","303","13"
"Kara","303","13"
"Kamile","303","13"
"Nikita","303","13"
"Kathlyn","303","13"
"Susan","303","13"
"Caitriona","303","13"
"Caoilinn","303","13"
"Keisha","303","13"
"Veronica","303","13"
"Aoibh","303","13"
"Bonnie","303","13"
"Angela","303","13"
"Anne","303","13"
"Elise","303","13"
"Kirsty","303","13"
"Zuzanna","325","12"
"Karen","325","12"
"Kim","325","12"
"Gabija","325","12"
"Phoebe","325","12"
"Leila","325","12"
"Sadbh","325","12"
"Abbi","325","12"
"Carrie","325","12"
"Mariam","325","12"
"Annabelle","325","12"
"Kaci","325","12"
"Rianna","325","12"
"Katelynn","325","12"
"Lillian","325","12"
"Amie","325","12"
"Jayne","325","12"
"Denise","325","12"
"Karla","325","12"
"Eibhlin","325","12"
"Cassie","345","11"
"Karolina","345","11"
"Ann","345","11"
"Daria","345","11"
"Shania","345","11"
"Skye","345","11"
"Daniella","345","11"
"Joanne","345","11"
"Simone","345","11"
"Serena","345","11"
"Angelina","345","11"
"Cerys","345","11"
"Deirbhile","345","11"
"Eileen","345","11"
"Aibhe","345","11"
"Robin","345","11"
"Lorraine","345","11"
"Morgan","345","11"
"Sian","345","11"
"Briana","345","11"
"Georgina","345","11"
"Cait","345","11"
"Jorja","367","10"
"Kyra","367","10"
"Sadie","367","10"
"Ana","367","10"
"Annabel","367","10"
"Bethany","367","10"
"Melanie","367","10"
"Patrycja","367","10"
"Zoey","367","10"
"Dominika","367","10"
"Eliza","367","10"
"Emilie","367","10"
"Blessing","367","10"
"Kaylah","367","10"
"Caoilfhionn","367","10"
"Gabriele","367","10"
"Jodi","367","10"
"Stacey","367","10"
"Anastasia","367","10"
"Daniela","367","10"
"Roise","367","10"
"Alexandria","367","10"
"Jessie","367","10"
"Brigid","367","10"
"Dervla","367","10"
"Ebony","367","10"
"Tyra","367","10"
"Sharon","394","9"
"Avril","394","9"
"Jill","394","9"
"Charley","394","9"
"Zofia","394","9"
"Savannah","394","9"
"Ayla","394","9"
"Karina","394","9"
"Yasmine","394","9"
"Toni","394","9"
"Jasmin","394","9"
"Tessa","394","9"
"Clare","394","9"
"Fia","394","9"
"Jenny","394","9"
"Sive","394","9"
"Eloise","394","9"
"Isla","394","9"
"Johanna","394","9"
"Shonagh","394","9"
"Tiffany","394","9"
"Alanah","394","9"
"Iseult","394","9"
"Kerrie","394","9"
"Kiara","394","9"
"Lillie","394","9"
"Mikayla","394","9"
"Noelle","394","9"
"Ayesha","394","9"
"Dayna","394","9"
"Nell","394","9"
"Bronwyn","394","9"
"Farrah","394","9"
"Christine","394","9"
"Colleen","394","9"
"Cassandra","394","9"
"Destiny","394","9"
"Darcy","431","8"
"Keela","431","8"
"Alesha","431","8"
"Ria","431","8"
"Suzanne","431","8"
"Enya","431","8"
"Miriam","431","8"
"Caoilainn","431","8"
"Darcey","431","8"
"Gillian","431","8"
"Nancy","431","8"
"Sarah-Jane","431","8"
"Donna","431","8"
"Genevieve","431","8"
"Kristina","431","8"
"Maire","431","8"
"Seana","431","8"
"Catriona","431","8"
"Dara","431","8"
"Divine","431","8"
"Tamara","431","8"
"Teresa","431","8"
"Aliyah","431","8"
"Aobha","431","8"
"Fionnuala","431","8"
"Hayleigh","431","8"
"Kaitlin","431","8"
"Paula","431","8"
"Tanya","431","8"
"Mackenzie","431","8"
"Saibh","431","8"
"Frances","431","8"
"Lilia","431","8"
"Fatima","464","7"
"Lexie","464","7"
"Stella","464","7"
"Sabrina","464","7"
"Gracie","464","7"
"Paulina","464","7"
"Cadhla","464","7"
"Alicja","464","7"
"Dawn","464","7"
"Scarlett","464","7"
"Arianna","464","7"
"Francesca","464","7"
"Chelsey","464","7"
"Kayley","464","7"
"Louisa","464","7"
"Kimberly","464","7"
"Laragh","464","7"
"Breanna","464","7"
"Thea","464","7"
"Iris","464","7"
"Maryam","464","7"
"Aileen","464","7"
"Aya","464","7"
"Crystal","464","7"
"Hana","464","7"
"Paris","464","7"
"Abaigh","464","7"
"Alise","464","7"
"Ariana","464","7"
"Caoilfhinn","464","7"
"Keri","464","7"
"Norah","464","7"
"Alina","464","7"
"Chanel","464","7"
"Realtin","464","7"
"Cameron","464","7"
"Erinn","464","7"
"Philippa","464","7"
"Nikola","502","6"
"Laila","502","6"
"Rhea","502","6"
"Josephine","502","6"
"Favour","502","6"
"Isobelle","502","6"
"Andreea","502","6"
"Martina","502","6"
"Maisie","502","6"
"Pearl","502","6"
"Vivienne","502","6"
"Zainab","502","6"
"Zarah","502","6"
"Iona","502","6"
"Maura","502","6"
"Valeria","502","6"
"Austeja","502","6"
"Esme","502","6"
"Hope","502","6"
"Kacie","502","6"
"Katrina","502","6"
"Liliana","502","6"
"Mercy","502","6"
"Rhiannon","502","6"
"Teigan","502","6"
"Bianca","502","6"
"Ceola","502","6"
"Dana","502","6"
"Denisa","502","6"
"Joyce","502","6"
"Alessia","502","6"
"Geraldine","502","6"
"Gwen","502","6"
"Iman","502","6"
"Kaylee","502","6"
"Kitty","502","6"
"Lainey","502","6"
"Lile","502","6"
"Meaghan","502","6"
"Zahra","502","6"
"Ailis","502","6"
"Bella","502","6"
"Liadan","502","6"
"Camille","502","6"
"Sonia","502","6"
"Jolie","502","6"
"Jude","502","6"
"Meadbh","502","6"
"Neasa","550","5"
"Weronika","550","5"
"Alexa","550","5"
"Pia","550","5"
"Ada","550","5"
"Brid","550","5"
"Imogen","550","5"
"Marta","550","5"
"Willow","550","5"
"Madeleine","550","5"
"Adriana","550","5"
"Greta","550","5"
"Magdalena","550","5"
"Precious","550","5"
"Samanta","550","5"
"Evelina","550","5"
"Katlyn","550","5"
"Leanna","550","5"
"Milena","550","5"
"Vanesa","550","5"
"Ashlee","550","5"
"Britney","550","5"
"Elisa","550","5"
"Jacqueline","550","5"
"Sine","550","5"
"Agata","550","5"
"Connie","550","5"
"Mary Kate","550","5"
"Simona","550","5"
"Susannah","550","5"
"Sylvia","550","5"
"Aela","550","5"
"Angelica","550","5"
"Aoise","550","5"
"Eireann","550","5"
"Eryn","550","5"
"Julianna","550","5"
"Kym","550","5"
"Leigha","550","5"
"Lina","550","5"
"Patricija","550","5"
"Shayna","550","5"
"Tammy","550","5"
"Amina","550","5"
"Anita","550","5"
"Elaina","550","5"
"Harriet","550","5"
"Liadh","550","5"
"Milana","550","5"
"Nada","550","5"
"Pippa","550","5"
"Rosanna","550","5"
"Sabina","550","5"
"Ailsa","550","5"
"Alli","550","5"
"Amal","550","5"
"Ayomide","550","5"
"Bebhinn","550","5"
"Bethan","550","5"
"Brona","550","5"
"Cody","550","5"
"Eirinn","550","5"
"Maureen","550","5"
"Candice","550","5"
"Hailey","550","5"
"Kila","550","5"
"Milla","550","5"
"Rowan","550","5"
"Siomha","550","5"
"Treasa","550","5"
"Viktoria","550","5"
"Vivian","550","5"
"Alyson","550","5"
"Blathin","550","5"
"Carys","550","5"
"Chelsie","550","5"
"Kathy","550","5"
"Laiba","550","5"
"Latisha","550","5"
"Loren","550","5"
"Marija","550","5"
"Marykate","550","5"
"Naima","550","5"
"Nisha","550","5"
"Rahma","550","5"
"Kamila","635","4"
"Klaudia","635","4"
"Lexi","635","4"
"Leyla","635","4"
"Orlagh","635","4"
"Cathy","635","4"
"Chanelle","635","4"
"Lacey","635","4"
"Samara","635","4"
"Angelika","635","4"
"Julianne","635","4"
"Monika","635","4"
"Saidbh","635","4"
"Alexia","635","4"
"Carol","635","4"
"Luna","635","4"
"Seren","635","4"
"Sheena","635","4"
"Adele","635","4"
"Amira","635","4"
"Celine","635","4"
"Mabel","635","4"
"Monica","635","4"
"Nevaeh","635","4"
"Philomena","635","4"
"Reese","635","4"
"Chiara","635","4"
"Davina","635","4"
"Elizabete","635","4"
"Fern","635","4"
"Goda","635","4"
"Kinga","635","4"
"Marissa","635","4"
"Meagan","635","4"
"Michaella","635","4"
"Nikki","635","4"
"Romy","635","4"
"Therese","635","4"
"Xin","635","4"
"Yusra","635","4"
"Yvonne","635","4"
"Alva","635","4"
"Annalise","635","4"
"Carley","635","4"
"Codie","635","4"
"Eliana","635","4"
"Emelia","635","4"
"Fodhla","635","4"
"Gina","635","4"
"Jada","635","4"
"Jia","635","4"
"Kylie","635","4"
"Lila","635","4"
"Lilian","635","4"
"Mikaela","635","4"
"Olive","635","4"
"Olwyn","635","4"
"Rionach","635","4"
"Sheana","635","4"
"Sheola","635","4"
"Wendy","635","4"
"Yu","635","4"
"Aedin","635","4"
"Alexis","635","4"
"Alissa","635","4"
"Alix","635","4"
"Allanah","635","4"
"Auguste","635","4"
"Belle","635","4"
"Edith","635","4"
"Jadine","635","4"
"Kristin","635","4"
"Lorena","635","4"
"Maddison","635","4"
"Mandy","635","4"
"Aniela","635","4"
"Anu","635","4"
"Beau","635","4"
"Daire","635","4"
"Florence","635","4"
"Guste","635","4"
"Juno","635","4"
"Mara","635","4"
"Melisa","635","4"
"Saule","635","4"
"Sibeal","635","4"
"Sile","635","4"
"Smilte","635","4"
"Talia","635","4"
"Tamsin","635","4"
"Alliyah","635","4"
"Arianne","635","4"
"Boluwatife","635","4"
"Brenna","635","4"
"Coleen","635","4"
"Corina","635","4"
"Dani","635","4"
"Elysia","635","4"
"Faridat","635","4"
"Ifeoma","635","4"
"Jemima","635","4"
"Jolene","635","4"
"Justyna","635","4"
"Katelin","635","4"
"Keelan","635","4"
"Kelli","635","4"
"Ketsia","635","4"
"Kodie","635","4"
"Kristen","635","4"
"Leigh","635","4"
"Lynn","635","4"
"Mena","635","4"
"Nikol","635","4"
"Noreen","635","4"
"Nyah","635","4"
"Oluchi","635","4"
"Oluwaseyi","635","4"
"Oonagh","635","4"
"Peace","635","4"
"Reanna","635","4"
"Riya","635","4"
"Rosin","635","4"
"Shantel","635","4"
"Shelby","635","4"
"Sheree","635","4"
"Temitope","635","4"
"Ursula","635","4"
"Valerija","635","4"
"Yvette","635","4"
"Linda","764","3"
"India","764","3"
"Eilish","764","3"
"Cleo","764","3"
"Halle","764","3"
"Madeline","764","3"
"Nia","764","3"
"Tianna","764","3"
"Winnie","764","3"
"Diane","764","3"
"Rosemary","764","3"
"Izabella","764","3"
"Mary-Kate","764","3"
"Renee","764","3"
"Ugne","764","3"
"Abbigail","764","3"
"Aoileann","764","3"
"Cayla","764","3"
"Cristina","764","3"
"Gloria","764","3"
"Hilary","764","3"
"Keely","764","3"
"Kelsie","764","3"
"Kendra","764","3"
"Klara","764","3"
"Kornelija","764","3"
"Mae","764","3"
"Mai","764","3"
"Miya","764","3"
"Saffron","764","3"
"Saorla","764","3"
"Amiee","764","3"
"Carmel","764","3"
"Estera","764","3"
"Hallie","764","3"
"Jillian","764","3"
"Pamela","764","3"
"Sarah Jane","764","3"
"Selena","764","3"
"Tanisha","764","3"
"Tiana","764","3"
"Anais","764","3"
"Beata","764","3"
"Carmen","764","3"
"Cate","764","3"
"Eire","764","3"
"Elisabeth","764","3"
"Giulia","764","3"
"Honor","764","3"
"Irene","764","3"
"Izabela","764","3"
"Jacinta","764","3"
"Jazmine","764","3"
"Kelly-Ann","764","3"
"Leia","764","3"
"Neha","764","3"
"Racheal","764","3"
"Samira","764","3"
"Sefora","764","3"
"Tatiana","764","3"
"Viktorija","764","3"
"Abagail","764","3"
"Adrianna","764","3"
"Adrija","764","3"
"Aifric","764","3"
"Aishah","764","3"
"Allison","764","3"
"Alma","764","3"
"Codi","764","3"
"Demi-Leigh","764","3"
"Dzesika","764","3"
"Isobella","764","3"
"Juliana","764","3"
"Kacy","764","3"
"Keva","764","3"
"Khadija","764","3"
"Lois","764","3"
"Lyndsey","764","3"
"Maisy","764","3"
"Alba","764","3"
"Barbara","764","3"
"Bernice","764","3"
"Bree","764","3"
"Cailin","764","3"
"Carlie","764","3"
"Dina","764","3"
"Drew","764","3"
"Ella-Mae","764","3"
