"Name","Rank","Number of Births"
"Sarah","1","921"
"Laura","2","771"
"Emma","3","613"
"Lisa","4","581"
"Ciara","5","564"
"Niamh","6","514"
"Mary","7","505"
"Michelle","8","501"
"Jennifer","9","496"
"Aoife","10","471"
"Sinead","11","460"
"Claire","12","427"
"Louise","13","401"
"Amy","14","347"
"Rachel","15","346"
"Aisling","16","340"
"Catherine","17","339"
"Karen","18","309"
"Elaine","18","309"
"Fiona","20","289"
"Nicola","21","267"
"Margaret","22","227"
"Amanda","23","216"
"Caroline","24","202"
"Danielle","25","201"
"Siobhan","26","199"
"Maria","27","198"
"Leanne","27","198"
"Grace","29","196"
"Rebecca","30","194"
"Orla","30","194"
"Deirdre","32","191"
"Aine","33","188"
"Linda","34","183"
"Ann","35","180"
"Lorraine","36","178"
"Elizabeth","37","177"
"Denise","37","177"
"Sharon","39","176"
"Anne","40","165"
"Tara","41","164"
"Marie","42","155"
"Stephanie","43","154"
"Gillian","44","152"
"Kate","45","151"
"Jessica","46","149"
"Susan","46","149"
"Eimear","48","148"
"Grainne","49","143"
"Helen","50","141"
"Roisin","51","138"
"Kelly","52","136"
"Donna","52","136"
"Charlene","52","136"
"Ruth","55","131"
"Edel","56","127"
"Christine","57","126"
"Alison","58","125"
"Clare","59","124"
"Katie","60","122"
"Samantha","61","117"
"Joanne","61","117"
"Kathleen","63","116"
"Mairead","64","115"
"Patricia","65","113"
"Melissa","66","108"
"Christina","66","108"
"Marian","66","108"
"Anna","69","107"
"Gemma","70","103"
"Bridget","70","103"
"Deborah","72","102"
"Sandra","73","100"
"Julie","74","99"
"Kim","75","97"
"Carol","76","96"
"Andrea","77","95"
"Emer","78","92"
"Suzanne","78","92"
"Martina","80","91"
"Natasha","81","90"
"Tracey","82","88"
"Lorna","83","87"
"Nicole","84","83"
"Caoimhe","85","79"
"Jane","85","79"
"Stacey","85","79"
"Tanya","85","79"
"Victoria","89","78"
"Tracy","90","76"
"Emily","91","74"
"Catriona","91","74"
"Yvonne","91","74"
"Lauren","94","73"
"Ellen","95","72"
"Caitriona","95","72"
"Paula","95","72"
"Sara","98","70"
"Ashling","99","69"
"Jacqueline","99","69"
"Maeve","101","67"
"Vanessa","101","67"
"Hazel","103","65"
"Natalie","104","64"
"Eileen","105","63"
"Hannah","106","62"
"Shauna","106","62"
"Rachael","108","61"
"Katherine","108","61"
"Megan","110","58"
"Bernadette","110","58"
"Teresa","112","56"
"Pamela","112","56"
"Avril","114","55"
"Chloe","115","52"
"Nora","116","50"
"Aileen","116","50"
"Audrey","116","50"
"Aimee","119","49"
"Miriam","119","49"
"Geraldine","119","49"
"Clodagh","122","48"
"Alice","122","48"
"Helena","124","46"
"Angela","125","45"
"Lyndsey","125","45"
"Una","127","44"
"Noelle","127","44"
"Georgina","127","44"
"Lydia","130","43"
"Sabrina","130","43"
"Leah","132","42"
"Olivia","132","42"
"Jean","132","42"
"Carmel","132","42"
"Aideen","136","41"
"Brigid","136","41"
"Anita","136","41"
"Frances","136","41"
"Sheila","136","41"
"Lynn","136","41"
"Aishling","142","40"
"Heather","143","39"
"Leona","143","39"
"Naomi","143","39"
"Marion","143","39"
"Maire","147","38"
"Brid","148","36"
"Valerie","148","36"
"Kellie","150","35"
"Josephine","150","35"
"Regina","150","35"
"Zoe","153","33"
"Sorcha","153","33"
"Jamie","153","33"
"Kathryn","153","33"
"Lucy","157","32"
"Orlaith","157","32"
"Ashley","157","32"
"Nadine","157","32"
"Colette","157","32"
"Eleanor","162","31"
"Sophie","163","30"
"Ailbhe","163","30"
"Brenda","163","30"
"Charlotte","166","29"
"Lynda","166","29"
"Rose","168","28"
"Joanna","168","28"
"Theresa","168","28"
"Noreen","168","28"
"Pauline","168","28"
"Carrie","173","27"
"Dawn","173","27"
"Kerrie","173","27"
"Breda","173","27"
"Holly","177","26"
"Cliona","177","26"
"Joan","177","26"
"Jemma","180","25"
"Therese","180","25"
"Irene","180","25"
"Jacinta","180","25"
"Janet","180","25"
"Muireann","185","24"
"Evelyn","185","24"
"Melanie","185","24"
"Cathy","185","24"
"Barbara","185","24"
"Edwina","185","24"
"Julia","191","23"
"Hayley","191","23"
"Diane","191","23"
"Shona","194","22"
"Erica","194","22"
"Eilis","194","22"
"Marianne","194","22"
"Lesley","194","22"
"Lynsey","194","22"
"Doireann","200","21"
"Jenna","200","21"
"Maureen","200","21"
"Zara","203","20"
"Annie","203","20"
"Jade","203","20"
"Ailish","203","20"
"Eilish","203","20"
"Philomena","203","20"
"Jillian","203","20"
"Arlene","203","20"
"Janine","203","20"
"Leann","203","20"
"Stacy","203","20"
"Erin","214","19"
"Carla","214","19"
"Jill","214","19"
"April","214","19"
"Veronica","214","19"
"Rosemary","214","19"
"Lindsey","214","19"
