"Name","Rank","Number of Births"
"Sarah","1","840"
"Aoife","2","727"
"Ciara","3","624"
"Emma","4","623"
"Niamh","5","622"
"Rachel","6","543"
"Rebecca","7","525"
"Amy","8","524"
"Chloe","9","510"
"Laura","10","501"
"Megan","11","482"
"Lauren","12","473"
"Katie","13","436"
"Shannon","14","385"
"Shauna","15","370"
"Mary","16","345"
"Nicole","17","322"
"Aisling","18","306"
"Jessica","19","301"
"Sinead","20","282"
"Roisin","21","272"
"Hannah","22","269"
"Sophie","23","261"
"Ellen","24","260"
"Caoimhe","25","252"
"Kate","26","245"
"Emily","27","225"
"Claire","28","206"
"Lisa","29","200"
"Eimear","30","197"
"Jennifer","31","194"
"Michelle","32","189"
"Leah","33","185"
"Catherine","34","182"
"Aine","35","173"
"Orla","36","172"
"Tara","37","168"
"Kelly","38","165"
"Anna","39","153"
"Danielle","39","153"
"Jade","41","152"
"Elizabeth","42","151"
"Louise","43","145"
"Saoirse","44","142"
"Grace","45","133"
"Kayleigh","45","133"
"Zoe","47","132"
"Hayley","48","130"
"Clodagh","49","125"
"Fiona","50","121"
"Gemma","51","120"
"Maria","52","118"
"Grainne","53","114"
"Michaela","53","114"
"Alison","53","114"
"Leanne","56","104"
"Siobhan","57","100"
"Stephanie","58","97"
"Margaret","59","94"
"Courtney","59","94"
"Karen","61","93"
"Jane","62","92"
"Lucy","63","89"
"Rachael","64","84"
"Holly","65","83"
"Maeve","66","82"
"Ruth","67","81"
"Eva","68","80"
"Robyn","69","78"
"Nicola","69","78"
"Elaine","71","77"
"Natasha","72","76"
"Samantha","73","75"
"Kathleen","74","74"
"Emer","75","73"
"Sorcha","76","71"
"Caroline","76","71"
"Hazel","78","70"
"Chelsea","78","70"
"Molly","80","67"
"Melissa","80","67"
"Lorna","82","66"
"Anne","83","63"
"Erica","84","62"
"Alannah","85","61"
"Helen","85","61"
"Joanne","85","61"
"Alice","88","60"
"Deirdre","88","60"
"Marie","90","59"
"Mairead","90","59"
"Ann","92","58"
"Lorraine","92","58"
"Orlaith","94","57"
"Cliona","94","57"
"Aimee","96","55"
"Bridget","96","55"
"Caitlin","98","54"
"Julie","98","54"
"Kim","98","54"
"Nadine","101","52"
"Ailbhe","102","51"
"Patricia","102","51"
"Heather","104","50"
"Clara","105","49"
"Amanda","105","49"
"Olivia","107","48"
"Stacey","107","48"
"Charlotte","109","47"
"Sadhbh","110","46"
"Sara","110","46"
"Christina","110","46"
"Kellie","110","46"
"Clare","110","46"
"Jodie","115","45"
"Aideen","115","45"
"Erin","117","44"
"Alana","117","44"
"Sharon","117","44"
"Edel","117","44"
"Kelsey","121","43"
"Denise","121","43"
"Andrea","123","42"
"Annie","123","42"
"Carla","123","42"
"Carol","123","42"
"Naomi","127","41"
"Gillian","127","41"
"Amber","129","39"
"Victoria","129","39"
"Ashling","129","39"
"Alexandra","132","38"
"Donna","132","38"
"Christine","132","38"
"Alanna","135","37"
"Georgia","135","37"
