"Name","Rank","Number of Births"
"Muireann","137","36"
"Laoise","137","36"
"Eleanor","137","36"
"Lydia","137","36"
"Nikita","137","36"
"Caitriona","137","36"
"Teresa","137","36"
"Kirsty","137","36"
"Eve","145","35"
"Casey","145","35"
"Cliodhna","145","35"
"Leona","148","34"
"Katherine","148","34"
"Abigail","150","33"
"Sophia","150","33"
"Paula","150","33"
"Sally","153","32"
"Tanya","153","32"
"Susan","155","31"
"Shona","156","30"
"Claudia","156","30"
"Nora","156","30"
"Josephine","156","30"
"Eileen","156","30"
"Brigid","156","30"
"Aileen","156","30"
"Shannen","163","29"
"Hollie","164","28"
"Rose","164","28"
"Aishling","164","28"
"Helena","164","28"
"Natalie","164","28"
"Bernadette","164","28"
"Catriona","164","28"
"Alisha","171","27"
"Doireann","171","27"
"Bronagh","171","27"
"Meghan","171","27"
"Rebekah","171","27"
"Ella","176","26"
"Isabelle","176","26"
"Taylor","176","26"
"Martha","176","26"
"Dearbhla","176","26"
"Chantelle","176","26"
"Meadhbh","176","26"
"Kerri","176","26"
"Tamara","176","26"
"Avril","185","25"
"Linda","185","25"
"Sandra","185","25"
"Anita","185","25"
"Cara","189","24"
"Sabrina","189","24"
"Erika","189","24"
"Pamela","189","24"
"Ailish","193","23"
"Simone","193","23"
"Serena","193","23"
"Ashleigh","193","23"
"Jamie","193","23"
"Fionnuala","193","23"
"Charlene","193","23"
"Julia","200","22"
"Aoibheann","200","22"
"Vanessa","200","22"
"Ashley","200","22"
"Yasmin","200","22"
"Eadaoin","200","22"
"Jill","200","22"
"Suzanne","200","22"
"Martina","200","22"
"Miriam","200","22"
"Angela","200","22"
"Georgina","200","22"
"Jordan","200","22"
"Ava","213","21"
"Abbie","213","21"
"Katelyn","213","21"
"Meabh","213","21"
"Una","213","21"
"Tracey","213","21"
"Siofra","219","20"
"Evelyn","219","20"
"Kathryn","219","20"
"Kerrie","219","20"
"Jacqueline","219","20"
"Jean","219","20"
"Lynn","219","20"
"Faye","226","19"
"Isobel","226","19"
"Kerry","226","19"
"Dawn","226","19"
"Orlagh","226","19"
"Dayna","226","19"
"Colleen","226","19"
"Hayleigh","226","19"
"Eilis","226","19"
"Isabel","235","18"
"Lara","235","18"
"Kirsten","235","18"
"Phoebe","235","18"
"Aislinn","235","18"
"Joy","235","18"
"Carrie","235","18"
"Celine","235","18"
"Tracy","235","18"
"Yvonne","235","18"
"Sheila","235","18"
"Jenna","246","17"
"April","246","17"
"Deborah","246","17"
"Enya","246","17"
"Joanna","250","16"
"Melanie","250","16"
"Jemma","250","16"
"Audrey","250","16"
"Lily","254","15"
"Zara","254","15"
"Jasmine","254","15"
"Alicia","254","15"
"Cora","254","15"
"Carly","254","15"
"Amie","254","15"
"Jayne","254","15"
"Frances","254","15"
"Ellie","263","14"
"Naoise","263","14"
"Gabrielle","263","14"
"Nadia","263","14"
"Brid","263","14"
"Noelle","263","14"
"Vivienne","263","14"
"Orna","263","14"
"Philomena","263","14"
"Cait","263","14"
"Geraldine","263","14"
"Joan","263","14"
"Alex","275","13"
"Tori","275","13"
"Aoibhin","275","13"
"Blathnaid","275","13"
"Diana","275","13"
"Johanna","275","13"
"Cathy","275","13"
"Jessie","275","13"
"Theresa","275","13"
"Carmel","275","13"
"Karla","275","13"
"Therese","275","13"
"Micheala","275","13"
"Sasha","288","12"
"Toni","288","12"
"Eilish","288","12"
"Rosemary","288","12"
"Kimberley","288","12"
"Marian","288","12"
"Mia","294","11"
"Abby","294","11"
"Ali","294","11"
"Kiera","294","11"
"Tiffany","294","11"
"Dara","294","11"
"Mikaela","294","11"
"Winifred","294","11"
"Cody","294","11"
"Lynsey","294","11"
"Ruby","304","10"
"Aoibhinn","304","10"
"Maebh","304","10"
"Savannah","304","10"
"Sadbh","304","10"
"Nessa","304","10"
"Blaithin","304","10"
"Veronica","304","10"
"Chelsey","304","10"
"Nancy","304","10"
"Valerie","304","10"
"Katy","304","10"
"Leonie","304","10"
"Maura","304","10"
"Rita","304","10"
"Dervla","304","10"
"Regina","304","10"
"Lindsey","304","10"
"Eibhlin","304","10"
"Hailey","304","10"
"Brenda","304","10"
"Lianne","304","10"
"Beibhinn","326","9"
"Maire","326","9"
"Bronwyn","326","9"
"Keely","326","9"
"Rhiannon","326","9"
"Cassandra","326","9"
"Marion","326","9"
"Selina","326","9"
"Aifric","326","9"
"Colette","326","9"
"Breda","326","9"
"Arlene","326","9"
"Courteney","326","9"
"Kelley","326","9"
"Kirstie","326","9"
"Leigh","326","9"
"Marguerite","326","9"
"Oonagh","326","9"
"Pauline","326","9"
"Shelly","326","9"
"Riona","346","8"
"Mollie","346","8"
"Rosie","346","8"
"Jenny","346","8"
"Madeline","346","8"
"Thea","346","8"
"Kaitlin","346","8"
"Dana","346","8"
"Tammy","346","8"
"Bebhinn","346","8"
"Agnes","346","8"
"Cathriona","346","8"
"Edwina","346","8"
"Eimer","346","8"
"Imelda","346","8"
"Shannan","346","8"
"Stacy","346","8"
"Kayla","363","7"
"Isabella","363","7"
"Freya","363","7"
"Sofia","363","7"
"Beth","363","7"
"Elena","363","7"
"Lena","363","7"
"Tia","363","7"
"Neasa","363","7"
"Kathlyn","363","7"
"Francesca","363","7"
"Louisa","363","7"
"Meg","363","7"
"Monica","363","7"
"Briana","363","7"
"Judith","363","7"
"Marina","363","7"
"Jacinta","363","7"
"Keri","363","7"
"Meaghan","363","7"
"Norah","363","7"
"Ailis","363","7"
"Dearbhail","363","7"
"Barbara","363","7"
"Antoinette","363","7"
"Belinda","363","7"
"Ciana","363","7"
"Janet","363","7"
"Ornaith","363","7"
"Shanice","363","7"
"Triona","363","7"
"Moya","394","6"
"Keeva","394","6"
"Faith","394","6"
"Brianna","394","6"
"Lea","394","6"
"Kara","394","6"
"Stella","394","6"
"Ana","394","6"
"Annabel","394","6"
"Demi","394","6"
"Yasmine","394","6"
"Jasmin","394","6"
"Tessa","394","6"
"Arianna","394","6"
"Deirbhile","394","6"
"Shonagh","394","6"
"Alanah","394","6"
"Kayley","394","6"
"Diane","394","6"
"Seana","394","6"
"Iona","394","6"
"Hilary","394","6"
"Katrina","394","6"
"Kym","394","6"
"Larissa","394","6"
"Meagan","394","6"
"Harriet","394","6"
"Olwyn","394","6"
"Allison","394","6"
"Brona","394","6"
"Chantel","394","6"
"Edith","394","6"
"Cailin","394","6"
"Cheyenne","394","6"
"Dorothy","394","6"
"Eithne","394","6"
"Vicky","394","6"
"Alyson","394","6"
"Debbie","394","6"
"Laurie","394","6"
"Leslie","394","6"
"Lynda","394","6"
"Michele","394","6"
"Nichola","394","6"
"Noreen","394","6"
"Tiegan","394","6"
"Abbey","440","5"
"Angel","440","5"
"Nina","440","5"
"Paige","440","5"
"Lia","440","5"
"Leila","440","5"
"Bethany","440","5"
"Tess","440","5"
"Caoilinn","440","5"
"Esther","440","5"
"Imogen","440","5"
"Caithlin","440","5"
"Lauryn","440","5"
"Iseult","440","5"
"Julianne","440","5"
"Katelynn","440","5"
"Sheena","440","5"
"Kira","440","5"
"Saffron","440","5"
"Sylvia","440","5"
"Davina","440","5"
"Marissa","440","5"
"Romy","440","5"
"Selena","440","5"
"Codie","440","5"
"Gina","440","5"
"Irene","440","5"
"Rosanna","440","5"
"Chantal","440","5"
"Lyndsey","440","5"
"Marianne","440","5"
"Deanna","440","5"
"Sibeal","440","5"
"Sile","440","5"
"Annette","440","5"
"Charmaine","440","5"
"Coady","440","5"
"Dionne","440","5"
"Janice","440","5"
"Jennie","440","5"
"Katriona","440","5"
"Kirstin","440","5"
"Lynne","440","5"
"Micaela","440","5"
"Nakita","440","5"
"Nathalie","440","5"
"Nichole","440","5"
"Norma","440","5"
"Priscilla","440","5"
"Reece","440","5"
"Shantelle","440","5"
"Shaunagh","440","5"
"Shirley","440","5"
"Terri","440","5"
"Devon","440","5"
"Madge","440","5"
"Eabha","496","4"
"Brooke","496","4"
"Layla","496","4"
"Keelin","496","4"
"Daisy","496","4"
"Tegan","496","4"
"Hanna","496","4"
"Juliette","496","4"
"Fatima","496","4"
"Juliet","496","4"
"Matilda","496","4"
"Elisha","496","4"
"Poppy","496","4"
"Charley","496","4"
"Ria","496","4"
"Beatrice","496","4"
"Kasey","496","4"
"Cadhla","496","4"
"Emilie","496","4"
"Pia","496","4"
"Caoilainn","496","4"
"Caoilfhionn","496","4"
"Jodi","496","4"
"Kiara","496","4"
"Ayesha","496","4"
"Laragh","496","4"
"Leanna","496","4"
"Elisa","496","4"
"Adele","496","4"
"Judy","496","4"
"Sian","496","4"
"Jillian","496","4"
"Joyce","496","4"
"Leigha","496","4"
"Celina","496","4"
"Elana","496","4"
"Kaylee","496","4"
"Kylie","496","4"
"Racheal","496","4"
"Seanna","496","4"
"Zahra","496","4"
"Alma","496","4"
"Ceire","496","4"
"Eden","496","4"
"Jadine","496","4"
"Maureen","496","4"
"Adina","496","4"
"Daire","496","4"
"Dearbhaile","496","4"
"Florence","496","4"
"Moira","496","4"
"Rhona","496","4"
"Sonya","496","4"
"Blathin","496","4"
"Clair","496","4"
"Claudine","496","4"
"Clionadh","496","4"
"Corina","496","4"
"Dannielle","496","4"
"Dominique","496","4"
"Eavan","496","4"
"Eimhear","496","4"
"Finola","496","4"
"Jolene","496","4"
"Kaleigh","496","4"
"Kathy","496","4"
"Kirstyn","496","4"
"Kristen","496","4"
"Leagh","496","4"
"Lesley","496","4"
"Monique","496","4"
"Nicolle","496","4"
"Nuala","496","4"
"Patrice","496","4"
"Philippa","496","4"
"Rachelle","496","4"
"Rosaleen","496","4"
"Deana","496","4"
"Saidhbhe","496","4"
"Sharleen","496","4"
"Amelia","576","3"
"Aoibhe","576","3"
"Maya","576","3"
"Cassie","576","3"
"Lucia","576","3"
"Libby","576","3"
"Siun","576","3"
"Rhianna","576","3"
"Caragh","576","3"
"Keeley","576","3"
"Maggie","576","3"
"Kyra","576","3"
"Shania","576","3"
"Lana","576","3"
"Lucie","576","3"
"Allie","576","3"
"Isobelle","576","3"
"Sive","576","3"
"Greta","576","3"
"Mikayla","576","3"
"Samara","576","3"
"Alexandria","576","3"
"Katlyn","576","3"
"Lillian","576","3"
"Pearl","576","3"
"Ashlee","576","3"
"Morgan","576","3"
"Renee","576","3"
"Hope","576","3"
"Klara","576","3"
"Polly","576","3"
"Aoise","576","3"
"Bianca","576","3"
"Chiara","576","3"
"Fern","576","3"
"Tiana","576","3"
"Annalise","576","3"
"Antonia","576","3"
"Carley","576","3"
"Ceili","576","3"
"Elaina","576","3"
"Haley","576","3"
"Liadh","576","3"
"Maud","576","3"
"May","576","3"
"Abagail","576","3"
"Ailise","576","3"
"Ailsa","576","3"
"Allanah","576","3"
"Autumn","576","3"
"Juliana","576","3"
"Kiya","576","3"
"Alia","576","3"
"Fay","576","3"
"Orlaigh","576","3"
"Sonia","576","3"
"Susanna","576","3"
"Treasa","576","3"
"Vivian","576","3"
"Vivien","576","3"
"Annemarie","576","3"
"Blanaid","576","3"
"Bronach","576","3"
"Bronwen","576","3"
"Cameron","576","3"
"Carolyn","576","3"
"Ceri","576","3"
"Chanice","576","3"
"Chantell","576","3"
"Chelsie","576","3"
"Cloe","576","3"
"Constance","576","3"
"Debra","576","3"
"Derbhla","576","3"
"Eilise","576","3"
"Ericka","576","3"
"Haleigh","576","3"
"Ita","576","3"
"Jody","576","3"
"June","576","3"
"Kiah","576","3"
"Lauran","576","3"
"Marisa","576","3"
"Mickaela","576","3"
"Mona","576","3"
"Naoimh","576","3"
"Noirin","576","3"
"Nollaig","576","3"
"Roslyn","576","3"
"Shanna","576","3"
"Shelley","576","3"
"Siobhain","576","3"
"Stacie","576","3"
"Tamika","576","3"
"Tirna","576","3"
"Trudy","576","3"
"Yasmeen","576","3"
"Zita","576","3"
"Danah","576","3"
"Breege","576","3"
"Dairine","576","3"
"Glenda","576","3"
"Jan","576","3"
"Leeann","576","3"
"Mariosa","576","3"
"Marita","576","3"
"Marsha","576","3"
"Meghann","576","3"
"Mickella","576","3"
"Rayanne","576","3"
