"Name","Rank","Number of Births"
"John","1","3696"
"Patrick","2","2235"
"Michael","3","2157"
"Paul","4","1814"
"James","5","1554"
"Thomas","6","1349"
"David","7","936"
"William","8","875"
"Martin","9","849"
"Gerard","10","815"
"Joseph","11","737"
"Anthony","12","613"
"Peter","13","527"
"Brian","14","464"
"Kevin","15","452"
"Francis","16","429"
"Brendan","17","426"
"Edward","18","425"
"Daniel","19","395"
"Noel","20","394"
"Denis","21","347"
"Robert","22","342"
"Declan","23","321"
"Richard","24","301"
"Stephen","25","296"
"Timothy","26","295"
"Christopher","27","289"
"Mark","28","279"
"Alan","29","245"
"Raymond","30","237"
"Derek","30","237"
"Kieran","32","224"
"Bernard","33","201"
"Andrew","34","195"
"Dermot","34","195"
"Philip","36","187"
"Aidan","37","182"
"Sean","38","171"
"Jeremiah","39","161"
"Cornelius","39","161"
"Kenneth","41","150"
"Vincent","42","148"
"Charles","43","145"
"Desmond","43","145"
"Colm","45","144"
"Donal","45","144"
"Niall","47","142"
"Laurence","48","141"
"Ciaran","49","124"
"Eugene","50","123"
"Maurice","51","120"
"George","52","115"
"Hugh","53","112"
"Liam","54","111"
"Terence","55","102"
"Conor","56","97"
"Gerald","57","94"
"Nicholas","58","92"
"Matthew","59","89"
"Seamus","60","87"
"Henry","60","87"
"Ian","62","86"
"Eamon","62","86"
"Eamonn","64","83"
"Adrian","65","75"
"Fergus","66","71"
"Ronan","67","70"
"Oliver","68","69"
"Barry","69","62"
"Finbarr","70","61"
"Owen","71","59"
"Gabriel","72","57"
"Rory","73","56"
"Damian","73","56"
"Shane","75","49"
"Damien","75","49"
"Enda","75","49"
"Gregory","78","47"
"Garrett","78","47"
"Edmond","80","45"
"Bartholomew","81","44"
"Neil","82","43"
"Eoin","83","42"
"Gary","84","41"
"Dominic","84","41"
"Karl","86","40"
"Cormac","87","39"
"Padraig","88","38"
"Colin","89","37"
"Ronald","89","37"
"Simon","91","36"
"Leslie","91","36"
"Fergal","93","35"
"Eric","94","34"
"Aiden","94","34"
"Cathal","96","32"
"Keith","96","32"
"Arthur","98","31"
"Nigel","98","31"
"Fintan","100","29"
"Leo","101","28"
"Albert","101","28"
"Trevor","101","28"
"Donald","104","27"
"Luke","105","26"
"Frederick","105","26"
"Edmund","105","26"
"Finbar","105","26"
"Diarmuid","109","25"
"Myles","109","25"
"Dominick","111","24"
"Walter","111","24"
"Roger","113","22"
"Austin","114","20"
"Garry","114","20"
"Alexander","116","19"
"Cyril","116","19"
"Pascal","116","19"
"Samuel","119","18"
"Victor","119","18"
"Colum","119","18"
"Jerome","119","18"
"Lawrence","119","18"
"Paschal","119","18"
"Jonathan","125","17"
"Hubert","125","17"
"Leonard","125","17"
"Colman","125","17"
"Graham","129","16"
"Malachy","129","16"
"Gordon","129","16"
"Mel","129","16"
"Nial","129","16"
"Alfred","134","15"
"Norman","134","15"
"Marcus","136","14"
"Phillip","136","14"
"Mervyn","136","14"
"Benjamin","139","13"
"Louis","139","13"
"Justin","139","13"
"Jarlath","139","13"
"Malcolm","139","13"
"Valentine","139","13"
"Mathew","145","12"
"Columba","145","12"
"Lorcan","147","11"
"Ivan","147","11"
"Carl","147","11"
"Allan","147","11"
"Manus","147","11"
"Geoffrey","147","11"
"Harold","147","11"
"Clive","147","11"
"Dara","155","10"
"Pierce","155","10"
"Morgan","155","10"
"Finian","155","10"
"Kiernan","155","10"
"Benedict","155","10"
"Alphonsus","155","10"
"Ambrose","155","10"
"Augustine","155","10"
"Eoghan","164","9"
"Gearoid","164","9"
"Donagh","164","9"
"Felix","164","9"
"Frank","164","9"
"Stuart","164","9"
"Phelim","164","9"
"Allen","164","9"
"Andrea","164","9"
"Clement","164","9"
"Coleman","164","9"
"Bryan","175","8"
"Glenn","175","8"
"Jeffrey","175","8"
"Douglas","175","8"
"Derick","175","8"
"Herbert","175","8"
"Tomas","181","7"
"Daragh","181","7"
"Roy","181","7"
"Ultan","181","7"
"Conrad","181","7"
"Ernest","181","7"
"Eunan","181","7"
"Gerrard","181","7"
"Roderick","181","7"
"Sylvester","181","7"
"Ross","191","6"
"Senan","191","6"
"Daire","191","6"
"Julian","191","6"
"Dennis","191","6"
"Aodh","191","6"
"Feargal","191","6"
"Ignatius","191","6"
"Neill","191","6"
"Neville","191","6"
"Redmond","191","6"
"Stewart","191","6"
"Columbanus","191","6"
"Killian","204","5"
"Conal","204","5"
"Padraic","204","5"
"Neal","204","5"
"Aengus","204","5"
"Bruce","204","5"
"Macdara","204","5"
"Humphrey","204","5"
"Roland","204","5"
"Sharan","204","5"
"Craig","214","4"
"Marco","214","4"
"Warren","214","4"
"Edwin","214","4"
"Gareth","214","4"
"Theodore","214","4"
"Russell","214","4"
"Seosamh","214","4"
"Ralph","214","4"
"Stanley","214","4"
"Arnold","214","4"
"Cieran","214","4"
"Conleth","214","4"
"Flannan","214","4"
"Ivor","214","4"
"Mortimer","214","4"
"Fidelis","214","4"
"Michale","214","4"
"Oisin","232","3"
"Gavin","232","3"
"Isaac","232","3"
"Tiernan","232","3"
"Steven","232","3"
"Glen","232","3"
"Wayne","232","3"
"Mario","232","3"
"Daryl","232","3"
"Felim","232","3"
"Kyran","232","3"
"Angus","232","3"
"Fearghal","232","3"
"Lorenzo","232","3"
"Tadg","232","3"
"Basil","232","3"
"Connell","232","3"
"Fiach","232","3"
"Finnian","232","3"
"Canice","232","3"
"Matthias","232","3"
"Dermott","232","3"
"Derrick","232","3"
"Fachtna","232","3"
"Garett","232","3"
"Gilbert","232","3"
"Howard","232","3"
"Keiran","232","3"
"Criona","232","3"
"Dudley","232","3"
"Fiacre","232","3"
"Jermiah","232","3"
"Keirn","232","3"
"Nigil","232","3"
"Rodney","232","3"
"Stanislaus","232","3"
"Willaim","232","3"
