"Name","Rank","Number of Births"
"David","1","1318"
"John","2","1110"
"Michael","3","903"
"Stephen","4","851"
"Shane","5","830"
"James","6","824"
"Patrick","7","810"
"Mark","8","729"
"Paul","9","716"
"Thomas","10","592"
"Sean","11","560"
"Kevin","12","555"
"Daniel","13","517"
"Robert","14","504"
"Brian","15","492"
"Christopher","16","457"
"Alan","17","428"
"Darren","18","425"
"Conor","19","420"
"Jason","20","359"
"Niall","21","350"
"Keith","22","337"
"Anthony","23","335"
"Joseph","24","331"
"Martin","25","324"
"William","26","322"
"Andrew","27","321"
"Ciaran","28","317"
"Eoin","29","316"
"Peter","30","299"
"Richard","31","293"
"Jonathan","32","282"
"Ian","33","278"
"Gerard","34","276"
"Gary","35","264"
"Barry","36","241"
"Colm","37","236"
"Gavin","38","209"
"Brendan","39","208"
"Dean","40","204"
"Philip","41","193"
"Declan","42","189"
"Ronan","43","185"
"Colin","44","179"
"Kieran","45","178"
"Simon","46","173"
"Damien","47","171"
"Liam","48","170"
"Matthew","49","165"
"Darragh","50","147"
"Aidan","50","147"
"Edward","50","147"
"Aaron","53","135"
"Ross","54","134"
"Adam","55","131"
"Graham","55","131"
"Luke","57","129"
"Padraig","58","128"
"Karl","59","124"
"Derek","59","124"
"Cathal","61","123"
"Cian","62","122"
"Kenneth","63","117"
"Steven","64","116"
"Timothy","65","115"
"Donal","65","115"
"Craig","67","111"
"Adrian","68","99"
"Noel","68","99"
"Wayne","68","99"
"Denis","71","98"
"Francis","71","98"
"Raymond","73","95"
"Eoghan","74","94"
"Lee","75","88"
"Neil","75","88"
"Nicholas","77","87"
"Jamie","78","80"
"Rory","79","79"
"Seamus","79","79"
"Cormac","81","75"
"Eric","81","75"
"Bryan","83","74"
"Dermot","83","74"
"Owen","85","70"
"Enda","86","63"
"Shaun","87","61"
"Eamonn","87","61"
"Diarmuid","89","59"
"Hugh","89","59"
"Bernard","91","57"
"Gareth","91","57"
"Daragh","93","56"
"Vincent","93","56"
"Fergal","95","55"
"Trevor","95","55"
"Scott","97","54"
"Killian","98","53"
"Samuel","99","51"
"Gearoid","100","50"
"Kyle","101","48"
"Laurence","101","48"
"Oisin","103","47"
"Terence","103","47"
"Emmet","105","46"
"Alexander","106","45"
"Lorcan","106","45"
"Padraic","106","45"
"Maurice","106","45"
"Desmond","110","44"
"Ryan","111","42"
"Tomas","111","42"
"Micheal","111","42"
"Damian","111","42"
"Charles","115","41"
"Glenn","116","40"
"Eamon","117","39"
"Gregory","117","39"
"Cornelius","119","38"
"Cillian","120","37"
"Carl","120","37"
"Jack","122","36"
"George","122","36"
"Justin","122","36"
"Nigel","122","36"
"Jeremiah","126","35"
"Marc","127","33"
"Benjamin","128","32"
"Daryl","128","32"
"Jeffrey","128","32"
"Wesley","131","31"
"Garry","131","31"
"Evan","133","30"
"Dara","133","30"
"Stuart","133","30"
"Daire","136","28"
"Oliver","137","25"
"Henry","137","25"
"Fintan","137","25"
"Eugene","137","25"
"Marcus","141","24"
"Glen","141","24"
"Emmett","141","24"
"Gerald","141","24"
"Nathan","145","23"
"Dane","145","23"
"Finbarr","145","23"
"Dylan","148","21"
"Eanna","148","21"
"Fergus","148","21"
"Pauric","151","20"
"Ben","152","19"
"Colum","152","19"
"Leon","154","18"
"Roy","154","18"
"Diarmaid","154","18"
"Phillip","154","18"
"Geoffrey","154","18"
"Darran","154","18"
"Connor","160","17"
"Ivan","160","17"
"Dominic","160","17"
"Dwayne","160","17"
"Garrett","160","17"
"Edmond","160","17"
"Fionn","166","16"
"Pierce","166","16"
"Leonard","166","16"
"Austin","169","15"
"Garreth","169","15"
"Alex","171","14"
"Leo","171","14"
"Warren","171","14"
"Graeme","171","14"
"Ruairi","175","13"
"Tony","175","13"
"Edmund","175","13"
"Darryl","175","13"
"Christian","179","12"
"Arthur","179","12"
"Myles","179","12"
"Gordon","179","12"
"Clive","179","12"
"Jonathon","179","12"
"Neill","179","12"
"Tadhg","186","11"
"Aodhan","186","11"
"Conal","186","11"
"Julian","186","11"
"Iain","186","11"
"Terry","186","11"
"Neal","186","11"
"Fearghal","186","11"
"Paraic","186","11"
"Feargal","186","11"
"Tiernan","196","10"
"Caolan","196","10"
"Fiachra","196","10"
"Morgan","196","10"
"Aiden","196","10"
"Joshua","201","9"
"Kealan","201","9"
"Kelvin","201","9"
"Leigh","201","9"
"Johnathan","201","9"
"Garret","201","9"
"Tom","207","8"
"Tadgh","207","8"
"Lewis","207","8"
"Frank","207","8"
"Hubert","207","8"
"Finian","207","8"
"Douglas","207","8"
"Donald","207","8"
"Jake","215","7"
"Harry","215","7"
"Donnacha","215","7"
"Danny","215","7"
"Jesse","215","7"
"Stefan","215","7"
"Mohamed","215","7"
"Aron","215","7"
"Peadar","215","7"
"Ricky","215","7"
"Lawrence","215","7"
"Allen","215","7"
"Aonghus","215","7"
"Bartholomew","215","7"
"Cyril","215","7"
"Finbar","215","7"
"Greg","215","7"
"Kieron","215","7"
"Lloyd","215","7"
"Stewart","215","7"
"Sam","235","6"
"Senan","235","6"
"Conall","235","6"
"Donncha","235","6"
"Donagh","235","6"
"Mathew","235","6"
"Ferdia","235","6"
"Fionan","235","6"
"Erik","235","6"
"Levi","235","6"
"Robin","235","6"
"Allan","235","6"
"Jerome","235","6"
"Walter","235","6"
"Ashley","235","6"
"Gavan","235","6"
"Mairtin","235","6"
"Nial","235","6"
"Dwane","235","6"
"Louis","254","5"
"Daithi","254","5"
"Calvin","254","5"
"Keelan","254","5"
"Gabriel","254","5"
"Kane","254","5"
"Rowan","254","5"
"Frederick","254","5"
"Jarlath","254","5"
"Blaine","254","5"
"Dale","254","5"
"Don","254","5"
"Kris","254","5"
"Alec","254","5"
"Steve","254","5"
"Alphonsus","254","5"
"Glynn","254","5"
"Max","271","4"
"Oran","271","4"
"Lucas","271","4"
"Odhran","271","4"
"Bobby","271","4"
"Sebastian","271","4"
"Paddy","271","4"
"Zachary","271","4"
"Conn","271","4"
"Naoise","271","4"
"Conan","271","4"
"Mohammed","271","4"
"Dan","271","4"
"Malachy","271","4"
"Ruaidhri","271","4"
"Albert","271","4"
"Fabian","271","4"
"Tobias","271","4"
"Dennis","271","4"
"Clinton","271","4"
"Damon","271","4"
"Dominick","271","4"
"Russell","271","4"
"Phelim","271","4"
"Ronald","271","4"
"Evin","271","4"
"Garvan","271","4"
"Manus","271","4"
"Roger","271","4"
"Tyrone","271","4"
"Barra","271","4"
"Darra","271","4"
"Eunan","271","4"
"Malcolm","271","4"
"Cecil","271","4"
"Clifford","271","4"
"Dereck","271","4"
"Duane","271","4"
"Jeffery","271","4"
"Leslie","271","4"
"Mervyn","271","4"
"Neville","271","4"
"Padhraic","271","4"
"Paschal","271","4"
"Redmond","271","4"
"Ros","271","4"
"Daren","271","4"
"Kristopher","271","4"
"Finn","319","3"
"Rhys","319","3"
"Kian","319","3"
"Billy","319","3"
"Tristan","319","3"
"Tommy","319","3"
"Jay","319","3"
"Reuben","319","3"
"Jan","319","3"
"Tiarnan","319","3"
"Theo","319","3"
"Mohammad","319","3"
"Johnny","319","3"
"Ultan","319","3"
"Caoimhin","319","3"
"Cuan","319","3"
"Jeremy","319","3"
"Louie","319","3"
"Andre","319","3"
"Feidhlim","319","3"
"Edwin","319","3"
"Gerry","319","3"
"Maxwell","319","3"
"Theodore","319","3"
"Domhnall","319","3"
"Con","319","3"
"Jayson","319","3"
"Aodan","319","3"
"Caimin","319","3"
"Colman","319","3"
"Dallan","319","3"
"Eoghain","319","3"
"Ernest","319","3"
"Muiris","319","3"
"Dayne","319","3"
"Fiach","319","3"
"Abraham","319","3"
"Caomhan","319","3"
"Macdara","319","3"
"Manuel","319","3"
"Dario","319","3"
"Darrell","319","3"
"Derrick","319","3"
"Garett","319","3"
"Gilbert","319","3"
"Imran","319","3"
"Lance","319","3"
"Padraigh","319","3"
"Riccardo","319","3"
"Ruarc","319","3"
"Blain","319","3"
"Domhnaill","319","3"
"Donall","319","3"
"Dwaine","319","3"
"Garath","319","3"
"Kirk","319","3"
"Shamus","319","3"
"Sheamus","319","3"
