"Name","Rank","Number of Births"
"Mary","1","944"
"Michelle","2","650"
"Caroline","3","647"
"Catherine","4","618"
"Sinead","5","594"
"Lisa","6","536"
"Sarah","7","506"
"Deirdre","8","498"
"Karen","9","494"
"Jennifer","10","486"
"Emma","11","480"
"Niamh","12","469"
"Fiona","12","469"
"Lorraine","14","460"
"Paula","15","453"
"Louise","16","447"
"Elaine","17","446"
"Laura","18","395"
"Linda","19","390"
"Ann","20","380"
"Aoife","21","379"
"Margaret","22","374"
"Elizabeth","23","370"
"Claire","24","369"
"Sharon","25","368"
"Anne","26","363"
"Nicola","27","343"
"Susan","28","332"
"Joanne","29","319"
"Orla","30","313"
"Gillian","31","293"
"Ciara","32","289"
"Marie","33","287"
"Sandra","34","282"
"Siobhan","35","281"
"Patricia","36","273"
"Aisling","37","270"
"Carol","38","268"
"Denise","39","261"
"Yvonne","40","244"
"Pamela","41","242"
"Helen","42","226"
"Amanda","43","222"
"Maria","44","218"
"Pauline","45","216"
"Martina","46","207"
"Edel","47","198"
"Suzanne","48","189"
"Rachel","49","187"
"Deborah","50","186"
"Ruth","51","176"
"Jacqueline","51","176"
"Aine","53","171"
"Bridget","54","170"
"Julie","55","168"
"Grainne","56","163"
"Clare","57","162"
"Catriona","58","158"
"Geraldine","59","155"
"Kathleen","60","152"
"Bernadette","60","152"
"Emer","62","149"
"Alison","63","147"
"Mairead","63","147"
"Teresa","65","145"
"Anna","66","140"
"Tracey","67","139"
"Audrey","68","137"
"Jane","69","132"
"Christina","69","132"
"Sabrina","71","130"
"Tara","72","127"
"Olivia","73","125"
"Eimear","74","124"
"Eileen","75","123"
"Angela","76","120"
"Donna","76","120"
"Tracy","76","120"
"Caitriona","79","114"
"Jean","80","111"
"Roisin","81","107"
"Gemma","82","106"
"Carmel","83","104"
"Barbara","84","103"
"Christine","85","97"
"Valerie","86","95"
"Aileen","86","95"
"Jessica","88","94"
"Anita","88","94"
"Andrea","90","93"
"Maeve","91","92"
"Lorna","91","92"
"Emily","93","90"
"Sheila","93","90"
"Annette","95","86"
"Ashling","96","84"
"Victoria","97","83"
"Helena","98","82"
"Colette","98","82"
"Rebecca","100","79"
"Georgina","101","78"
"Josephine","102","77"
"Amy","103","76"
"Tanya","104","75"
"Una","105","74"
"Avril","105","74"
"Miriam","105","74"
"Ellen","108","73"
"Melissa","108","73"
"Noreen","108","73"
"Samantha","111","72"
"Shirley","111","72"
"Clodagh","113","71"
"Katherine","113","71"
"Joanna","113","71"
"Stephanie","116","68"
"Frances","116","68"
"Evelyn","118","67"
"Brenda","119","65"
"Lynn","119","65"
"Eleanor","121","64"
"Brigid","121","64"
"Janice","121","64"
"Nora","124","63"
"Janet","124","63"
"Leona","126","60"
"Natalie","126","60"
"Natasha","128","59"
"Noelle","128","59"
"Joan","128","59"
"Grace","131","58"
"Hazel","131","58"
"Regina","133","57"
"Theresa","134","56"
"Majella","135","55"
"Jacinta","136","54"
"Marian","136","54"
"Diane","138","53"
"Irene","138","53"
"Therese","140","52"
"Wendy","140","52"
"Veronica","142","51"
"Johanna","142","51"
"Antoinette","142","51"
"Rose","145","50"
"Dawn","145","50"
"Maire","145","50"
"Rachael","148","49"
"Hilary","148","49"
"Naomi","150","48"
"Rosemary","150","48"
"Siobhain","150","48"
"Maureen","153","47"
"Nuala","153","47"
"Melanie","155","45"
"Breda","155","45"
"Aideen","157","43"
"Kelly","158","42"
"Celine","158","42"
"Brid","160","41"
"Kate","161","40"
"Charlotte","161","40"
"Danielle","161","40"
"Kim","161","40"
"Marion","161","40"
"Lesley","161","40"
"Nichola","161","40"
"Edwina","168","39"
"Lynda","168","39"
"Alice","170","38"
"Sara","170","38"
"Leanne","170","38"
"Cliona","170","38"
"Marguerite","174","37"
"Susanne","174","37"
"Eva","176","36"
"Vanessa","177","35"
"Lucy","178","34"
"Julia","178","34"
"Karina","178","34"
"Martha","181","33"
"Kathryn","181","33"
"Philomena","181","33"
"Sonya","181","33"
"Cathriona","181","33"
"Dolores","181","33"
"Katrina","187","32"
"Imelda","188","31"
"Jill","189","30"
"April","189","30"
"Maura","189","30"
"Eilis","189","30"
"Eilish","193","29"
"Stacey","193","29"
"Norma","193","29"
"Rosaleen","193","29"
"Caoimhe","197","28"
"Cora","197","28"
"Erica","197","28"
"Olga","197","28"
"Aishling","201","27"
"Esther","201","27"
"Rita","201","27"
"Sylvia","201","27"
"Marcella","201","27"
"Noeleen","201","27"
"Heather","207","26"
"Lydia","207","26"
"Triona","207","26"
"Sorcha","210","25"
"Joyce","210","25"
"Karol","210","25"
"Ailish","213","24"
"Monica","213","24"
"Arlene","213","24"
"Carolyn","213","24"
"Gail","213","24"
"June","213","24"
"Fionnuala","219","23"
"Tina","219","23"
"Catherina","219","23"
"Fidelma","219","23"
"Glenda","219","23"
"Shauna","224","22"
"Sheena","224","22"
"Michele","224","22"
"Leah","227","21"
"Joy","227","21"
"Judith","227","21"
"Cara","230","20"
"Ailbhe","230","20"
"Carla","230","20"
"Dearbhla","230","20"
"Cathy","230","20"
"Jillian","230","20"
"Kerrie","236","19"
"Vivienne","236","19"
"Alma","236","19"
"Charlene","236","19"
"Mandy","236","19"
"Sonia","236","19"
"Ursula","236","19"
"Annie","243","18"
"Shona","243","18"
"Serena","243","18"
"Marina","243","18"
"Adrienne","243","18"
"Sile","243","18"
"Belinda","243","18"
"Clair","243","18"
"Janette","243","18"
"Lynette","243","18"
"Diana","253","17"
"Sally","253","17"
"Kerry","253","17"
"Winifred","253","17"
"Marianne","253","17"
"Rhona","253","17"
"Cheryl","253","17"
"Loretta","253","17"
"Nina","261","16"
"Dara","261","16"
"Adele","261","16"
"Tammy","261","16"
"Olive","261","16"
"Allison","261","16"
