"Name","Rank","Number of Births"
"Jack","1","597"
"James","2","495"
"Noah","3","447"
"Daniel","4","359"
"Conor","5","345"
"Finn","6","331"
"Liam","7","329"
"Fionn","8","323"
"Harry","9","311"
"Charlie","10","305"
"Cillian","11","302"
"Adam","12","299"
"Darragh","12","299"
"Luke","14","290"
"Rían","15","285"
"Oisín","16","277"
"Michael","17","275"
"Tadhg","18","272"
"Thomas","19","271"
"Seán","20","266"
"Alex","21","256"
"Patrick","22","236"
"Jamie","23","235"
"Cian","24","203"
"Oliver","25","195"
"John","26","193"
"Bobby","27","185"
"Dylan","28","182"
"Leo","28","182"
"Ryan","30","181"
"Oscar","31","178"
"Ben","32","171"
"David","33","168"
"Theo","34","157"
"Mason","34","157"
"Tommy","36","154"
"Jacob","37","151"
"Callum","38","149"
"Matthew","39","148"
"Alexander","40","144"
"Alfie","41","143"
"Max","42","140"
"Tom","43","137"
"Ollie","44","136"
"Aaron","45","134"
"Jake","46","129"
"Ethan","47","128"
"Donnacha","47","128"
"Evan","49","123"
"Benjamin","50","120"
"William","51","118"
"Senan","51","118"
"Sam","53","117"
"Shay","53","117"
"Logan","55","115"
"Joshua","56","111"
"Nathan","57","110"
"Kai","58","109"
"Joseph","59","107"
"Archie","59","107"
"Jayden","61","106"
"Luca","61","106"
"Billy","63","105"
"Arthur","64","103"
"Danny","65","101"
"Theodore","66","100"
"Samuel","67","99"
"Cathal","68","98"
"Lucas","68","98"
"Aidan","70","94"
"Freddie","71","93"
"Rory","72","92"
"Robert","73","90"
"Eoin","74","87"
"Leon","75","85"
"Frankie","75","85"
"Muhammad","77","82"
"Ruairí","77","82"
"Eoghan","79","81"
"George","80","78"
"Louis","81","77"
"Isaac","81","77"
"Sonny","81","77"
"Odhrán","81","77"
"Kyle","85","76"
"Rian","86","74"
"Shane","87","72"
"Sean","88","70"
"Henry","88","70"
"Martin","90","69"
"Edward","90","69"
"Mark","92","68"
"Andrew","93","64"
"Anthony","93","64"
"Odhran","93","64"
"Kayden","93","64"
"Christopher","97","63"
"Sebastian","97","63"
"Joey","99","61"
"Hugo","99","61"
"Cody","101","60"
"Tadgh","101","60"
"Tomás","101","60"
"Jackson","104","59"
"Tiernan","105","58"
"Daithí","105","58"
"Jaxon","107","56"
"Teddy","107","56"
"Éanna","107","56"
"Páidí","107","56"
"Zach","111","55"
"Paddy","111","55"
"Elijah","111","55"
"Milo","111","55"
"Arlo","115","54"
"Kevin","116","53"
"Harrison","116","53"
"Ronan","118","52"
"Killian","118","52"
"Eli","120","51"
"Brody","120","51"
"Cormac","122","50"
"Hugh","122","50"
"Dara","124","49"
"Josh","125","48"
"Peter","125","48"
"Joe","125","48"
"Gabriel","125","48"
"Hunter","129","47"
"Ciarán","129","47"
"Blake","131","46"
"Oran","132","45"
"Caleb","132","45"
"Rowan","132","45"
"Cole","132","45"
"Tyler","136","44"
"Finley","136","44"
"Dáire","136","44"
"Ted","139","43"
"Scott","140","42"
"Jordan","140","42"
"Reuben","142","41"
"Levi","142","41"
"Niall","144","40"
"Jonathan","144","40"
"Caolán","144","40"
"Jason","147","39"
"Corey","147","39"
"Riley","147","39"
"Louie","147","39"
"Iarlaith","147","39"
"Donagh","152","38"
"Myles","152","38"
"Dáithí","152","38"
"Carter","155","37"
"Séamus","155","37"
"Elliot","157","36"
"Rhys","158","35"
"Lorcan","158","35"
"Eric","158","35"
"Calvin","158","35"
"Zack","158","35"
"Iarla","158","35"
"Ezra","158","35"
"Paul","165","34"
"Conall","165","34"
"Austin","165","34"
"Keegan","168","33"
"Filip","169","32"
"Jonah","169","32"
"Dominic","169","32"
"Zachary","172","31"
"Roman","172","31"
"Cameron","174","30"
"Nicholas","174","30"
"Antoni","174","30"
"Harvey","174","30"
"Elliott","174","30"
"Fíonn","174","30"
"Denis","180","29"
"Lewis","181","28"
"Felix","181","28"
"Jakub","183","27"
"Daire","183","27"
"Bradley","183","27"
"Jan","183","27"
"Fiachra","183","27"
"Conn","183","27"
"Naoise","183","27"
"Caelan","183","27"
"Aiden","183","27"
"Julian","183","27"
"Charles","193","26"
"Philip","193","26"
"Robbie","193","26"
"Aodhán","193","26"
"Cuán","193","26"
"Stephen","198","25"
"Ross","198","25"
"Brendan","198","25"
"Jude","198","25"
"Jesse","198","25"
"Lorcán","198","25"
"Brian","204","24"
"Alan","204","24"
"Tristan","204","24"
"Matteo","204","24"
"Matei","204","24"
"Mateo","204","24"
"Gearóid","204","24"
"Kacper","211","23"
"Owen","211","23"
"Adrian","211","23"
"Ned","211","23"
"Damian","211","23"
"Axel","211","23"
"Kaiden","211","23"
"Pádraig","211","23"
"Richard","219","22"
"Simon","219","22"
"Lukas","219","22"
"Dan","219","22"
"Nathaniel","219","22"
"Casey","219","22"
"Parker","219","22"
"Colm","226","21"
"Reece","226","21"
"Kian","226","21"
"Colin","226","21"
"Victor","226","21"
"Luka","226","21"
"Toby","226","21"
"Conan","226","21"
"Marcel","226","21"
"Stefan","226","21"
"Ruben","226","21"
"Dawson","226","21"
"Jaxson","226","21"
"Reggie","226","21"
"Diarmuid","240","20"
"Connor","240","20"
"Shea","240","20"
"Mikey","240","20"
"Leonardo","240","20"
"Robin","240","20"
"Beau","240","20"
"Luan","240","20"
"Tymon","240","20"
"Cooper","240","20"
"Christian","250","19"
"Brandon","250","19"
"Jay","250","19"
"Ivan","250","19"
"Flynn","250","19"
"Rio","250","19"
"Ellis","250","19"
"Grayson","250","19"
"Ruadhán","250","19"
"Séan","250","19"
"Senán","250","19"
"Oisin","261","18"
"Szymon","261","18"
"Timothy","261","18"
"Frank","261","18"
"Johnny","261","18"
"Donnchadh","261","18"
"Ibrahim","261","18"
"Fabian","261","18"
"Bodhi","261","18"
"Micheál","261","18"
"Darren","271","17"
"Keelan","271","17"
"Francis","271","17"
"Will","271","17"
"Aleksander","271","17"
"Eddie","271","17"
"Alfred","271","17"
"Jasper","271","17"
"Odin","271","17"
"Gerard","280","16"
"Caolan","280","16"
"Mohammad","280","16"
"Devin","280","16"
"Erik","280","16"
"Malachy","280","16"
"Andy","280","16"
"Peadar","280","16"
"Franciszek","280","16"
"Elias","280","16"
"Brogan","280","16"
"Spencer","280","16"
"Jayce","280","16"
"Séimí","280","16"
"Dillon","294","15"
"Lennon","294","15"
"Lochlann","294","15"
"Zac","294","15"
"Albert","294","15"
"Gerry","294","15"
"Leighton","294","15"
"Lachlan","294","15"
"Caiden","294","15"
"Hudson","294","15"
"Mylo","294","15"
"Olly","294","15"
"Koa","294","15"
"Lee","307","14"
"Seamus","307","14"
"Marcus","307","14"
"Oskar","307","14"
"Bryan","307","14"
"Hayden","307","14"
"Dominik","307","14"
"Alexandru","307","14"
"Nicolas","307","14"
"Jeremiah","307","14"
"Andrei","307","14"
"Ayaan","307","14"
"Eden","307","14"
"Freddy","307","14"
"Omar","307","14"
"Phoenix","307","14"
"Ódhran","307","14"
"Gavin","324","13"
"Dean","324","13"
"Patryk","324","13"
"Vincent","324","13"
"Noel","324","13"
"Conal","324","13"
"Maximilian","324","13"
"Frederick","324","13"
"Caden","324","13"
"Art","324","13"
"Kade","324","13"
"Culann","324","13"
"Miles","324","13"
"Paudie","324","13"
"Rua","324","13"
"Zayn","324","13"
"Cían","324","13"
"Seán Óg","324","13"
"Eamon","342","12"
"Donncha","342","12"
"Bernard","342","12"
"Tony","342","12"
"Ali","342","12"
"Mohamed","342","12"
"Maxim","342","12"
"Rossa","342","12"
"Rayan","342","12"
"Rafael","342","12"
"Alec","342","12"
"Aj","342","12"
"Brodie","342","12"
"River","342","12"
"Vlad","342","12"
"Zion","342","12"
"Conán","342","12"
"Sé","342","12"
"Tiarnán","342","12"
"Ciaran","361","11"
"Daragh","361","11"
"Ian","361","11"
"Troy","361","11"
"Olivier","361","11"
"Ahmed","361","11"
"Ferdia","361","11"
"Warren","361","11"
"Kealan","361","11"
"Natan","361","11"
"Callan","361","11"
"Con","361","11"
"Quinn","361","11"
"Harley","361","11"
"Kyron","361","11"
"Asher","361","11"
"Jace","361","11"
"Markas","361","11"
"Albie","361","11"
"Beauden","361","11"
"Kieran","381","10"
"Mikolaj","381","10"
"Pearse","381","10"
"Maksymilian","381","10"
"Mohammed","381","10"
"Rocco","381","10"
"Oliwier","381","10"
"Darius","381","10"
"Ahmad","381","10"
"Cayden","381","10"
"Eryk","381","10"
"Ajay","381","10"
"Thady","381","10"
"Amir","381","10"
"Mustafa","381","10"
"Lochlainn","381","10"
"Tommie","381","10"
"Kobi","381","10"
"Arham","381","10"
"Caoimhín","381","10"
"Faolán","381","10"
"Calum","402","9"
"Justin","402","9"
"Donal","402","9"
"Eamonn","402","9"
"Clayton","402","9"
"Ashton","402","9"
"Bill","402","9"
"Cuan","402","9"
"Feidhlim","402","9"
"Hubert","402","9"
"Maurice","402","9"
"Mike","402","9"
"Chris","402","9"
"Xavier","402","9"
"Dennis","402","9"
"Jimmy","402","9"
"Dominykas","402","9"
"Fred","402","9"
"Seth","402","9"
"Bruno","402","9"
"Ayan","402","9"
"Bowie","402","9"
"Carson","402","9"
"Kody","402","9"
"Lochlan","402","9"
"Macdara","402","9"
"Nikolas","402","9"
"Gus","402","9"
"Kobe","402","9"
"Dónal","402","9"
"Fionnán","402","9"
"Padraig","433","8"
"Emmet","433","8"
"Morgan","433","8"
"Joel","433","8"
"Matas","433","8"
"Aran","433","8"
"Abdullah","433","8"
"Antonio","433","8"
"Dion","433","8"
"Maximus","433","8"
"Jaiden","433","8"
"Walter","433","8"
"Barra","433","8"
"Coby","433","8"
"Colton","433","8"
"Koby","433","8"
"Kodi","433","8"
"Remy","433","8"
"Teodor","433","8"
"Yahya","433","8"
"Henryk","433","8"
"Eóghan","433","8"
"Kit","433","8"
"Mícheál","433","8"
"Rónán","433","8"
"Seánie","433","8"
"Damien","459","7"
"Barry","459","7"
"Pierce","459","7"
"Nikodem","459","7"
"Olan","459","7"
"Roy","459","7"
"Igor","459","7"
"Ultan","459","7"
"Jim","459","7"
"Emil","459","7"
"Benas","459","7"
"Larry","459","7"
"Olaf","459","7"
"Terry","459","7"
"Jared","459","7"
"Hassan","459","7"
"Emmett","459","7"
"Rohan","459","7"
"Theodor","459","7"
"Tymoteusz","459","7"
"Blaise","459","7"
"Elisei","459","7"
"Fiach","459","7"
"Darach","459","7"
"Hughie","459","7"
"Jenson","459","7"
"Richie","459","7"
"Youssef","459","7"
"Zain","459","7"
"Seamie","459","7"
"Gael","459","7"
"Cúan","459","7"
"Ólan","459","7"
"Óran","459","7"
"Rí","459","7"
"Ruán","459","7"
"Féilim","459","7"
"Tomas","496","6"
"Daithi","496","6"
"Dawid","496","6"
"Ewan","496","6"
"Taylor","496","6"
"Marc","496","6"
"Declan","496","6"
"Neil","496","6"
"Emmanuel","496","6"
"Euan","496","6"
"Fintan","496","6"
"Nikita","496","6"
"Jerry","496","6"
"Wiktor","496","6"
"Aron","496","6"
"Kajus","496","6"
"Tobias","496","6"
"Miguel","496","6"
"Stanislaw","496","6"
"Abdul","496","6"
"Andreas","496","6"
"Jonas","496","6"
"Finbarr","496","6"
"Kylan","496","6"
"Milan","496","6"
"Culainn","496","6"
"Kaylum","496","6"
"Lincoln","496","6"
"Milosz","496","6"
"Xander","496","6"
"Connell","496","6"
"Finnian","496","6"
"Braxton","496","6"
"Enzo","496","6"
"Layton","496","6"
"Malcolm","496","6"
"Matthias","496","6"
"Romeo","496","6"
"Steve","496","6"
"Karson","496","6"
"Lughaidh","496","6"
"Marley","496","6"
