"Name","Rank","Number of Births"
"Mattie","496","6"
"Musa","496","6"
"Avery","496","6"
"Georgie","496","6"
"Kayson","496","6"
"Ruadh","496","6"
"Alby","496","6"
"Ianis","496","6"
"Tyson","496","6"
"Yousuf","496","6"
"CJ","496","6"
"Cadán","496","6"
"Eóin","496","6"
"Páraic","496","6"
"Rohaan","496","6"
"Shéa","496","6"
"Jax","496","6"
"Caio","496","6"
"Shaun","556","5"
"Steven","556","5"
"Mateusz","556","5"
"Glen","556","5"
"Travis","556","5"
"Kane","556","5"
"Bailey","556","5"
"Brooklyn","556","5"
"Roan","556","5"
"Laurence","556","5"
"Finlay","556","5"
"Tim","556","5"
"Diego","556","5"
"Jeremy","556","5"
"Maksim","556","5"
"Abel","556","5"
"Daryl","556","5"
"Devon","556","5"
"Diarmaid","556","5"
"Hamza","556","5"
"Cornelius","556","5"
"Eugene","556","5"
"Piotr","556","5"
"Artur","556","5"
"Jaden","556","5"
"Leonard","556","5"
"Wojciech","556","5"
"Cal","556","5"
"Dominick","556","5"
"Edmund","556","5"
"Markus","556","5"
"Matt","556","5"
"Raphael","556","5"
"Cullen","556","5"
"Jerome","556","5"
"Kallum","556","5"
"Kalvin","556","5"
"Kyran","556","5"
"Leroy","556","5"
"Wyatt","556","5"
"Anas","556","5"
"Brayden","556","5"
"Darcy","556","5"
"Francesco","556","5"
"Johan","556","5"
"Julius","556","5"
"Lorenzo","556","5"
"Quin","556","5"
"Roger","556","5"
"Borys","556","5"
"Dexter","556","5"
"Ezekiel","556","5"
"Harris","556","5"
"Issac","556","5"
"Jakob","556","5"
"Abraham","556","5"
"Ailbe","556","5"
"Maison","556","5"
"Manuel","556","5"
"Stanley","556","5"
"Zakaria","556","5"
"Cruz","556","5"
"Hashim","556","5"
"Matias","556","5"
"Nate","556","5"
"Razvan","556","5"
"Ronnie","556","5"
"Timur","556","5"
"Axl","556","5"
"Ignacy","556","5"
"Vihaan","556","5"
"Otis","556","5"
"Bryson","556","5"
"Heitor","556","5"
"Niko","556","5"
"Ríain","556","5"
"Séamie","556","5"
"Théo","556","5"
"Adriel","556","5"
"Kabir","556","5"
"Kyro","556","5"
"Craig","637","4"
"Micheal","637","4"
"Keith","637","4"
"Gary","637","4"
"Kamil","637","4"
"Aodhan","637","4"
"Raymond","637","4"
"Michal","637","4"
"Zak","637","4"
"Preston","637","4"
"Kenneth","637","4"
"Marco","637","4"
"Mario","637","4"
"Maxwell","637","4"
"Trevor","637","4"
"Domhnall","637","4"
"Drew","637","4"
"Emilis","637","4"
"Kaden","637","4"
"Solomon","637","4"
"Christy","637","4"
"Eduard","637","4"
"Eolann","637","4"
"Jarlath","637","4"
"Lennox","637","4"
"Alessandro","637","4"
"Angus","637","4"
"Cohen","637","4"
"Colman","637","4"
"Guy","637","4"
"Isaiah","637","4"
"Khalid","637","4"
"Malik","637","4"
"Ralph","637","4"
"Timmy","637","4"
"Torin","637","4"
"Yusuf","637","4"
"Zane","637","4"
"Zayd","637","4"
"Alastair","637","4"
"Amos","637","4"
"Erick","637","4"
"Ashley","637","4"
"Ayden","637","4"
"Bruce","637","4"
"Casper","637","4"
"Davy","637","4"
"Leeroy","637","4"
"Lucian","637","4"
"Maddox","637","4"
"Moise","637","4"
"Patrik","637","4"
"Rex","637","4"
"Rogan","637","4"
"Samir","637","4"
"Ahad","637","4"
"Ayman","637","4"
"Benny","637","4"
"Bogdan","637","4"
"Dhruv","637","4"
"Eyad","637","4"
"Haider","637","4"
"Herkus","637","4"
"Israel","637","4"
"Nevin","637","4"
"Rayyan","637","4"
"Santiago","637","4"
"Willie","637","4"
"Archer","637","4"
"Coen","637","4"
"Kaylen","637","4"
"Rico","637","4"
"Bear","637","4"
"Emilio","637","4"
"Emir","637","4"
"Hendrix","637","4"
"Ryder","637","4"
"Cezar","637","4"
"Bradán","637","4"
"Clay","637","4"
"Kyren","637","4"
"Liam Óg","637","4"
"Maitiú","637","4"
"Michéal","637","4"
"Rónan","637","4"
"Séadna","637","4"
"Sunny","637","4"
"Vincenzo","637","4"
"Akim","637","4"
"Benjamim","637","4"
"Chester","637","4"
"Finnley","637","4"
"Florian","637","4"
"Haroon","637","4"
"Izhaan","637","4"
"Karsyn","637","4"
"Klay","637","4"
"Kobey","637","4"
"Kole","637","4"
"Kylo","637","4"
"Liviu","637","4"
"Sarim","637","4"
"Trent","637","4"
"Weston","637","4"
"Karl","741","3"
"Gearoid","741","3"
"Tiarnan","741","3"
"Riain","741","3"
"Enda","741","3"
"Bartosz","741","3"
"Ruadhan","741","3"
"Prince","741","3"
"Dermot","741","3"
"Glenn","741","3"
"Davin","741","3"
"Gregory","741","3"
"Fergal","741","3"
"Kelvin","741","3"
"Nojus","741","3"
"Turlough","741","3"
"Cristian","741","3"
"Finian","741","3"
"Gareth","741","3"
"Johnathan","741","3"
"Krzysztof","741","3"
"Pedro","741","3"
"Iosif","741","3"
"Marcin","741","3"
"Byron","741","3"
"Malachi","741","3"
"Sami","741","3"
"Syed","741","3"
"Terence","741","3"
"Brady","741","3"
"Enrico","741","3"
"Kristian","741","3"
"Nataniel","741","3"
"Nick","741","3"
"Raul","741","3"
"Viktor","741","3"
"Amin","741","3"
"Angelo","741","3"
"Beniamin","741","3"
"Bilal","741","3"
"Blaine","741","3"
"Bo","741","3"
"Denzel","741","3"
"Dovydas","741","3"
"Giovanni","741","3"
"Joao","741","3"
"John Paul","741","3"
"Kajetan","741","3"
"Keanu","741","3"
"Kenan","741","3"
"Lucca","741","3"
"Micah","741","3"
"Muiris","741","3"
"Orin","741","3"
"Ruan","741","3"
"Tiago","741","3"
"Adrians","741","3"
"Alistair","741","3"
"Aronas","741","3"
"Barney","741","3"
"Basil","741","3"
"Benedict","741","3"
"Felipe","741","3"
"Joris","741","3"
"Aarav","741","3"
"Alessio","741","3"
"Aodh","741","3"
"Chase","741","3"
"Davi","741","3"
"Dorian","741","3"
"Eduardo","741","3"
"Evanas","741","3"
"Francie","741","3"
"Gustas","741","3"
"Haris","741","3"
"Jensen","741","3"
"Korey","741","3"
"Kye","741","3"
"Mannix","741","3"
"Neitas","741","3"
"Pat","741","3"
"Ray","741","3"
"Rodrigo","741","3"
"Safwan","741","3"
"Tj","741","3"
"Tommy-Lee","741","3"
"Yannis","741","3"
"Yousef","741","3"
"Aayan","741","3"
"Anes","741","3"
"Aydin","741","3"
"Caeden","741","3"
"Connal","741","3"
"Connie","741","3"
"Dario","741","3"
"Emre","741","3"
"Flinn","741","3"
"Fraser","741","3"
"Giuseppe","741","3"
"Hussain","741","3"
"Idris","741","3"
"Isac","741","3"
"Johann","741","3"
"Josiah","741","3"
"Kieron","741","3"
"Kylian","741","3"
"Maidhc","741","3"
"Maverick","741","3"
"Mikael","741","3"
"Mohamad","741","3"
"Nathanael","741","3"
"Noa","741","3"
"Pierre","741","3"
"Radu","741","3"
"Reid","741","3"
"Setanta","741","3"
"Tadeusz","741","3"
"Usman","741","3"
"Vladimir","741","3"
"Yanis","741","3"
"Yaseen","741","3"
"Henri","741","3"
"Jordi","741","3"
"Olivers","741","3"
"Rami","741","3"
"Colby","741","3"
"Damir","741","3"
"Davie","741","3"
"Francisco","741","3"
"Karter","741","3"
"Kingston","741","3"
"Sawyer","741","3"
"Affan","741","3"
"Ari","741","3"
"Dax","741","3"
"Donnie","741","3"
"Jadon","741","3"
"Lugh","741","3"
"Silas","741","3"
"Ajus","741","3"
"Kason","741","3"
"Kiaan","741","3"
"Aodán","741","3"
"Brían","741","3"
"Croí","741","3"
"Éamonn","741","3"
"Finnán","741","3"
"Fionán","741","3"
"Huzaifa","741","3"
"Koda","741","3"
"Lúan","741","3"
"Máirtín","741","3"
"Óisín","741","3"
"Pádraic","741","3"
"Petar","741","3"
"Oakley","741","3"
"Denny","741","3"
"Malek","741","3"
"Seb","741","3"
"Reign","741","3"
"Rián","741","3"
"Abram","741","3"
"Ash","741","3"
"Bjorn","741","3"
"Cobie","741","3"
"Cónan","741","3"
"Cree","741","3"
"Creed","741","3"
"Crú","741","3"
"Dessie","741","3"
"Dónall","741","3"
"Éamon","741","3"
"Ekin","741","3"
"Elio","741","3"
"Elon","741","3"
"Grian","741","3"
"Iacob","741","3"
"Issa","741","3"
"J J","741","3"
"Jador","741","3"
"Jorge","741","3"
"Kairo","741","3"
"Kaysen","741","3"
"Koah","741","3"
"Kolton","741","3"
"Kruz","741","3"
"Kyrie","741","3"
"León","741","3"
"Lir","741","3"
"Lúc","741","3"
"Maximo","741","3"
"Mickey","741","3"
"Mikail","741","3"
"Muhammad Ali","741","3"
"Munachimso","741","3"
"Nikolaj","741","3"
"Óisin","741","3"
"Orion","741","3"
"Ozzie","741","3"
"Petru","741","3"
"PJ","741","3"
"Quie","741","3"
"Ralphie","741","3"
"Reyan","741","3"
"Roko","741","3"
"Santino","741","3"
"Shayan","741","3"
"Thorin","741","3"
"Vivaan","741","3"
"Vuk","741","3"
"Zohan","741","3"
